"","region","year","scenario","input","value","share"
"159","South Korea",2035,"1p5 delay","coal",0.467273263,58.7357440587035
"160","South Korea",2040,"Ref","coal",0.8032888926,76.9601436473084
"161","South Korea",2040,"1p5","coal",0.1070664407,17.5719099370164
"162","South Korea",2040,"1p5 delay","coal",0.271252156,41.2125894189151
"163","South Korea",2045,"Ref","coal",0.750944222,76.7171696578975
"164","South Korea",2045,"1p5","coal",0.0417926633,8.29476498835123
"165","South Korea",2045,"1p5 delay","coal",0.108784719,20.9089074641618
"166","South Korea",2050,"Ref","coal",0.693828972,76.5848188649794
"167","South Korea",2050,"1p5","coal",0.00507100533,1.22942912989592
"168","South Korea",2050,"1p5 delay","coal",0.006560777369,1.60962512642486
"169","US",2015,"Ref","coal",0.5036184,45.976010437232
"170","US",2015,"1p5","coal",0.5036184,45.976010437232
"171","US",2015,"1p5 delay","coal",0.5036184,45.976010437232
"172","US",2020,"Ref","coal",0.57445306,47.331718436789
"173","US",2020,"1p5","coal",0.55649883,46.1784064409414
"174","US",2020,"1p5 delay","coal",0.55649883,46.1784064409414
"175","US",2025,"Ref","coal",0.611160031,49.1750861851701
"176","US",2025,"1p5","coal",0.407497608,42.8472092289586
"177","US",2025,"1p5 delay","coal",0.507181739,45.7225130406146
"178","US",2030,"Ref","coal",0.632475804,50.6311290199676
"179","US",2030,"1p5","coal",0.223153621,28.2797200924532
"180","US",2030,"1p5 delay","coal",0.423066805,42.3581952070312
"181","US",2035,"Ref","coal",0.6436055923,51.5201886659879
"182","US",2035,"1p5","coal",0.0779588471,11.2882617215205
"183","US",2035,"1p5 delay","coal",0.232568677,29.2374907114128
"184","US",2040,"Ref","coal",0.6485654548,51.7849933377767
"185","US",2040,"1p5","coal",0.0280044072,4.3776316656326
"186","US",2040,"1p5 delay","coal",0.1136143325,16.661995273804
"187","US",2045,"Ref","coal",0.648357776,51.8664147233135
"188","US",2045,"1p5","coal",0.00224968839,0.391186008117941
"189","US",2045,"1p5 delay","coal",0.0295400181,5.04363975326996
"190","US",2050,"Ref","coal",0.649219869,52.4089651238857
"191","US",2050,"1p5","coal",0.0000074430849,0.00146546318721382
"192","US",2050,"1p5 delay","coal",0.0000084130773,0.00167483653880782
