IRONSTL production by tech,,,,,,,,,,,,,,,,,,,,
"0_1p5C,date=2021-20-10T07:49:36-07:32",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR,6.004,6.985,6.69,4.383,4.86028,3.874482,2.395325,1.029994,0.4452356,0.132599112,9.28E-04,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:33",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.155928,0.963376,1.9574696,2.2993983,1.635885,0.8847015,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:34",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0199154,0.0948295,0.15580693,0.14068668,0.0809518,0.008933472,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:35",Australia_NZ,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00155477,0.13036412,0.318136339,0.323920967,0.211614,0.091251182,0.008333032,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:36",Australia_NZ,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.869,1.266,1.111,1.017,1.192247,1.324165,1.263536,1.0775238,0.9027073,0.6512497,0.1381839,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:37",Australia_NZ,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.0985242,0.292408,0.5126619,0.7477566,1.2290154,1.7822349,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:38",Australia_NZ,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.119979,0.5143962,0.8763288,1.119943,1.6073729,2.1878905,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:39",Australia_NZ,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.2738,0.3992,0.3508,0.3214,0.379323,0.5412173,0.7902183,0.9801769,1.1421348,1.4909323,1.9501876,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:40",Brazil,iron and steel,BLASTFUR,iron and steel,BLASTFUR,20.2,24.7,25.1,26.5,26.95937,23.34698,16.70587,9.199549,4.940646,1.8778428,0.218233556,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:41",Brazil,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.63126,4.14332,9.689488,12.454347,9.315504,5.47577,0,0,0,Mt
