IRONSTL production by tech
"1p5C_1,date=2021-14-10T09:10:30-07:00",Canada,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,7.27016E-4,0.010859402999999998,0.017651187,0.014977545,0.0053270346,2.9536765000000002E-5,2.161258E-8,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Canada,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.59,1.59,1.34,1.44,1.280596,0.5247360000000001,0.17115239999999998,0.044208700000000004,0.004429232,1.04697337E-4,8.448242360000001E-7,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Canada,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0788983,0.156224,0.22402079999999996,0.22030193,0.08363461999999999,0.007322727,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Canada,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.621876,1.465351,2.039668,2.3729882,2.650883,2.5748879999999996,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Canada,iron and steel,EAF with scrap,iron and steel,EAF with scrap,4.78,4.77,4.02,4.32,4.96038,6.62499,8.176298,9.069312,9.615785,10.30503,11.202313,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.0010033,3.0E-4,4.0E-4,5.0E-4,0.113423787,0.8839039999999999,2.0985696128,3.3307448,4.024196,3.9885789999999997,2.8583999999999996,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.00762599,0.06313582,0.2948418,1.05590068,2.5800182,5.2875925,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,4.23843E-6,1.639538E-5,2.7978097999999997E-5,7.4027927E-6,2.3381505899999998E-7,3.06135E-9,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,1.33303E-6,1.4776389999999999E-5,2.6967237E-5,2.4940624000000002E-5,2.666363E-6,3.9339093E-8,4.06366E-10,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central America and Caribbean,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.9181,0.9217,0.9016,1.0652,1.143755,0.9947779999999999,0.5648844,0.2020038,0.024791454,8.3842187E-4,1.1967204742E-5,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central America and Caribbean,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0930749,0.2406947,0.4246402,0.5854491,0.4953816,0.10597015,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central America and Caribbean,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.0999335,0.2881162,0.43562749999999995,0.60666945,0.8701012,1.1737628,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central America and Caribbean,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.28949,0.2912,0.2849,0.3366,0.3518649,0.5221555,0.7047109,0.8515174,0.9972684,1.1701538,1.4425933,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR,4.454,4.625,3.376,3.62,4.5504299999999995,1.767709,0.9404803,0.26185597000000005,0.014659632999999998,4.2845820000000004E-5,9.338252000000002E-8,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.157138,0.41404799999999997,0.7799087,0.9651071,0.6610405,0.28271956000000004,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,1.48738,2.71626,3.363725,2.476803,1.1953097499999998,0.048509712999999996,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central Asia,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.151261,4.201667,4.9141547,3.8964709999999996,2.0440101,0.6083393220000001,0.0199166974,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.203,0.57,1.2742,0.846,0.897284,0.19607159999999998,0.1526837,0.1556478,0.07612482000000001,0.004657753000000001,4.0049099E-5,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0407509,0.0725546,0.19205450000000002,0.3930367,0.50792441,0.311509,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central Asia,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.650185,1.513058,3.337215,6.405765,9.800977,12.616966000000001,0.0,0.0,0.0,Mt,
