"","region","year","input","total_energy","share","Ref","1p5","1p5 delay"
"505","Global",2050,"biomass",4967.79273745672,0.179452192144645,NA,8.91481296856856,NA
"506","Global",2050,"biomass",5071.96321358322,0.215114540059377,NA,NA,10.9105303388803
"507","Global",2050,"biomass",12946.5841239204,1.54054729747878,199.448251836873,NA,NA
"508","Global",2050,"coal",4967.79273745672,2.60959655589485,NA,129.639348180665,NA
"509","Global",2050,"coal",5071.96321358322,2.66828114845777,NA,NA,135.334238284754
"510","Global",2050,"coal",12946.5841239204,74.6729174136981,9667.59207075003,NA,NA
"511","Global",2050,"coal with CCS",4967.79273745672,22.7218724750274,NA,1128.77553062859,NA
"512","Global",2050,"coal with CCS",5071.96321358322,24.2037287255718,NA,NA,1227.60421727648
"513","Global",2050,"electricity",4967.79273745672,38.9578151008719,NA,1935.34350925293,NA
"514","Global",2050,"electricity",5071.96321358322,37.7866822351862,NA,NA,1916.52662260223
"515","Global",2050,"electricity",12946.5841239204,14.5223548278892,1880.14888456689,NA,NA
"516","Global",2050,"gas",4967.79273745672,0.730733865073419,NA,36.3013438792541,NA
"517","Global",2050,"gas",5071.96321358322,0.768654493482179,NA,NA,38.9858731489705
"518","Global",2050,"gas",12946.5841239204,5.37486539934533,695.861470473734,NA,NA
"519","Global",2050,"gas with CCS",4967.79273745672,6.58574508053274,NA,327.166165818119,NA
"520","Global",2050,"gas with CCS",5071.96321358322,5.9559150117056,NA,NA,302.081818425989
"521","Global",2050,"gas with CCS",12946.5841239204,0.00000202100169292492,0.00026165068432038,NA,NA
"522","Global",2050,"hydrogen",4967.79273745672,23.8341948225454,NA,1184.03339942569,NA
"523","Global",2050,"hydrogen",5071.96321358322,24.2223843195588,NA,NA,1228.55042214077
"524","Global",2050,"hydrogen",12946.5841239204,1.95951154255779,253.689810275174,NA,NA
"525","Global",2050,"refined liquids",4967.79273745672,2.66041243493764,NA,132.163775729228,NA
"526","Global",2050,"refined liquids",5071.96321358322,2.58717905444275,NA,NA,131.220769910866
"527","Global",2050,"refined liquids",12946.5841239204,1.92980149802909,249.843374367012,NA,NA
"528","Global",2050,"refined liquids with CCS",4967.79273745672,1.72017747297202,NA,85.4548515736705,NA
"529","Global",2050,"refined liquids with CCS",5071.96321358322,1.5920604715355,NA,NA,80.7487214542802
"530","India",2015,"biomass",805.87626692272,0,0,0,0
"531","India",2015,"coal",805.87626692272,91.3066871664756,735.818921988,735.818921988,735.818921988
"532","India",2015,"coal with CCS",805.87626692272,0,NA,0,0
"533","India",2015,"electricity",805.87626692272,7.69480818421304,62.0106329418,62.0106329418,62.0106329418
"534","India",2015,"gas",805.87626692272,0.0303355331673322,0.24446686224,0.24446686224,0.24446686224
"535","India",2015,"gas with CCS",805.87626692272,0,NA,0,0
