"","region","year","value","scenario","sector","Units"
"189","Europe",2050,141.81601477,"Material efficiency","iron and steel","Mt"
"190","Global",2020,1926.64785266743,"Material efficiency and price increase","iron and steel","Mt"
"191","Global",2020,1947.74665587156,"Reference","iron and steel","Mt"
"192","Global",2020,1948.10475610019,"Material efficiency","iron and steel","Mt"
"193","Global",2025,1929.77991969543,"Material efficiency and price increase","iron and steel","Mt"
"194","Global",2025,2141.62895141663,"Reference","iron and steel","Mt"
"195","Global",2025,2063.97650190829,"Material efficiency","iron and steel","Mt"
"196","Global",2030,1973.944086601,"Material efficiency and price increase","iron and steel","Mt"
"197","Global",2030,2261.64876230415,"Reference","iron and steel","Mt"
"198","Global",2030,2113.51140625068,"Material efficiency","iron and steel","Mt"
"199","Global",2035,1975.83523144583,"Material efficiency and price increase","iron and steel","Mt"
"200","Global",2035,2344.51238953754,"Reference","iron and steel","Mt"
"201","Global",2035,2122.56069900044,"Material efficiency","iron and steel","Mt"
"202","Global",2040,1962.33604901055,"Material efficiency and price increase","iron and steel","Mt"
"203","Global",2040,2423.76553323214,"Reference","iron and steel","Mt"
"204","Global",2040,2124.13411126544,"Material efficiency","iron and steel","Mt"
"205","Global",2045,1944.11796947409,"Material efficiency and price increase","iron and steel","Mt"
"206","Global",2045,2476.76336598254,"Reference","iron and steel","Mt"
"207","Global",2045,2096.45377707773,"Material efficiency","iron and steel","Mt"
"208","Global",2050,1890.00577420689,"Material efficiency and price increase","iron and steel","Mt"
"209","Global",2050,2502.23329600851,"Reference","iron and steel","Mt"
"210","Global",2050,2051.78207272031,"Material efficiency","iron and steel","Mt"
"211","India",2020,117.319438,"Material efficiency and price increase","iron and steel","Mt"
"212","India",2020,117.658102,"Reference","iron and steel","Mt"
"213","India",2020,117.658109,"Material efficiency","iron and steel","Mt"
"214","India",2025,202.132829,"Material efficiency and price increase","iron and steel","Mt"
"215","India",2025,216.655728,"Reference","iron and steel","Mt"
"216","India",2025,210.053305,"Material efficiency","iron and steel","Mt"
"217","India",2030,267.1763916,"Material efficiency and price increase","iron and steel","Mt"
"218","India",2030,299.7032715,"Reference","iron and steel","Mt"
"219","India",2030,281.4796736,"Material efficiency","iron and steel","Mt"
"220","India",2035,324.9636144,"Material efficiency and price increase","iron and steel","Mt"
"221","India",2035,380.0766638,"Reference","iron and steel","Mt"
"222","India",2035,345.578029,"Material efficiency","iron and steel","Mt"
"223","India",2040,373.942604,"Material efficiency and price increase","iron and steel","Mt"
"224","India",2040,455.0084952,"Reference","iron and steel","Mt"
"225","India",2040,399.6302727,"Material efficiency","iron and steel","Mt"
"226","India",2045,411.249460078,"Material efficiency and price increase","iron and steel","Mt"
"227","India",2045,520.4446265,"Reference","iron and steel","Mt"
"228","India",2045,440.9666954,"Material efficiency","iron and steel","Mt"
"229","India",2050,437.334060405526,"Material efficiency and price increase","iron and steel","Mt"
"230","India",2050,573.2057974,"Reference","iron and steel","Mt"
"231","India",2050,470.1928872,"Material efficiency","iron and steel","Mt"
"232","Japan",2020,99.29652046,"Material efficiency and price increase","iron and steel","Mt"
"233","Japan",2020,99.33673564,"Reference","iron and steel","Mt"
"234","Japan",2020,99.33689458,"Material efficiency","iron and steel","Mt"
"235","Japan",2025,86.15727911,"Material efficiency and price increase","iron and steel","Mt"
"236","Japan",2025,97.97431769,"Reference","iron and steel","Mt"
"237","Japan",2025,91.28584181,"Material efficiency","iron and steel","Mt"
"238","Japan",2030,80.82174399,"Material efficiency and price increase","iron and steel","Mt"
"239","Japan",2030,93.0223792,"Reference","iron and steel","Mt"
"240","Japan",2030,84.9820549,"Material efficiency","iron and steel","Mt"
"241","Japan",2035,75.77839925,"Material efficiency and price increase","iron and steel","Mt"
"242","Japan",2035,88.60860967,"Reference","iron and steel","Mt"
"243","Japan",2035,79.60581406,"Material efficiency","iron and steel","Mt"
"244","Japan",2040,70.7542472,"Material efficiency and price increase","iron and steel","Mt"
"245","Japan",2040,84.46953857,"Reference","iron and steel","Mt"
"246","Japan",2040,74.7538051,"Material efficiency","iron and steel","Mt"
"247","Japan",2045,64.57565974,"Material efficiency and price increase","iron and steel","Mt"
"248","Japan",2045,80.3049212,"Reference","iron and steel","Mt"
"249","Japan",2045,69.93516096,"Material efficiency","iron and steel","Mt"
"250","Japan",2050,58.7005547349,"Material efficiency and price increase","iron and steel","Mt"
"251","Japan",2050,76.2528449,"Reference","iron and steel","Mt"
"252","Japan",2050,65.3537024,"Material efficiency","iron and steel","Mt"
"253","ROW",2020,338.512939077427,"Material efficiency and price increase","iron and steel","Mt"
"254","ROW",2020,338.450589531556,"Reference","iron and steel","Mt"
"255","ROW",2020,338.807574070188,"Material efficiency","iron and steel","Mt"
"256","ROW",2025,365.419651585428,"Material efficiency and price increase","iron and steel","Mt"
"257","ROW",2025,390.437158426628,"Reference","iron and steel","Mt"
"258","ROW",2025,378.533569018294,"Material efficiency","iron and steel","Mt"
"259","ROW",2030,414.330799517,"Material efficiency and price increase","iron and steel","Mt"
"260","ROW",2030,456.133777153149,"Reference","iron and steel","Mt"
"261","ROW",2030,428.376065354681,"Material efficiency","iron and steel","Mt"
"262","ROW",2035,462.046321544827,"Material efficiency and price increase","iron and steel","Mt"
"263","ROW",2035,523.88009120054,"Reference","iron and steel","Mt"
"264","ROW",2035,476.296146892442,"Material efficiency","iron and steel","Mt"
"265","ROW",2040,508.367634790548,"Material efficiency and price increase","iron and steel","Mt"
"266","ROW",2040,594.498059392144,"Reference","iron and steel","Mt"
"267","ROW",2040,522.083363145435,"Material efficiency","iron and steel","Mt"
"268","ROW",2045,550.477223246092,"Material efficiency and price increase","iron and steel","Mt"
"269","ROW",2045,664.746274942543,"Reference","iron and steel","Mt"
"270","ROW",2045,563.175884767726,"Material efficiency","iron and steel","Mt"
"271","ROW",2050,576.445840128041,"Material efficiency and price increase","iron and steel","Mt"
"272","ROW",2050,731.422808618507,"Reference","iron and steel","Mt"
"273","ROW",2050,599.923262300305,"Material efficiency","iron and steel","Mt"
"274","South Korea",2020,71.51821768,"Material efficiency and price increase","iron and steel","Mt"
"275","South Korea",2020,71.67476382,"Reference","iron and steel","Mt"
"276","South Korea",2020,71.67488178,"Material efficiency","iron and steel","Mt"
"277","South Korea",2025,62.75697771,"Material efficiency and price increase","iron and steel","Mt"
"278","South Korea",2025,73.47232976,"Reference","iron and steel","Mt"
"279","South Korea",2025,68.57738289,"Material efficiency","iron and steel","Mt"
"280","South Korea",2030,59.01396633,"Material efficiency and price increase","iron and steel","Mt"
"281","South Korea",2030,74.50165784,"Reference","iron and steel","Mt"
"282","South Korea",2030,64.96323039,"Material efficiency","iron and steel","Mt"
"283","South Korea",2035,54.8761994,"Material efficiency and price increase","iron and steel","Mt"
"284","South Korea",2035,73.58635655,"Reference","iron and steel","Mt"
"285","South Korea",2035,60.61760173,"Material efficiency","iron and steel","Mt"
"286","South Korea",2040,50.2949024,"Material efficiency and price increase","iron and steel","Mt"
"287","South Korea",2040,70.71860004,"Reference","iron and steel","Mt"
"288","South Korea",2040,55.46516232,"Material efficiency","iron and steel","Mt"
"289","South Korea",2045,45.55854112,"Material efficiency and price increase","iron and steel","Mt"
"290","South Korea",2045,66.5337215,"Reference","iron and steel","Mt"
"291","South Korea",2045,49.8880404,"Material efficiency","iron and steel","Mt"
"292","South Korea",2050,40.6054745529,"Material efficiency and price increase","iron and steel","Mt"
"293","South Korea",2050,61.4217424,"Reference","iron and steel","Mt"
"294","South Korea",2050,44.1543263,"Material efficiency","iron and steel","Mt"
"295","US",2020,89.20404526,"Material efficiency and price increase","iron and steel","Mt"
"296","US",2020,89.16033268,"Reference","iron and steel","Mt"
"297","US",2020,89.1603036,"Material efficiency","iron and steel","Mt"
"298","US",2025,84.19277938,"Material efficiency and price increase","iron and steel","Mt"
"299","US",2025,93.35397148,"Reference","iron and steel","Mt"
"300","US",2025,86.76365642,"Material efficiency","iron and steel","Mt"
