IRONSTL inputs by tech (energy and feedstocks)
"current_policies,date=2021-18-10T11:53:02-07:00",Brazil,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0014223309,0.004008798,0.006327683,0.008087921599999999,0.0093079366,0.011336228,0.012908624,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Brazil,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,8.38355E-5,0.0011265889,0.0032111385000000003,0.0057028644,0.0076834450000000006,0.009363722,0.010527419,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Brazil,iron and steel,delivered coal,0.25718752,0.35124799999999995,0.38733,0.37322192000000004,0.3910469962,0.45457243859999996,0.5165615514000002,0.5641139953999997,0.60203527,0.627888312,0.641769806,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Brazil,iron and steel,elect_td_ind,0.06835724,0.08631472,0.09795090000000001,0.08928745999999999,0.09137191144,0.10519114974999999,0.11866955758000003,0.128912179866,0.13699591929,0.1428297339,0.14562295479999998,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Brazil,iron and steel,refined liquids industrial,0.01925597,0.03520557,0.04604627,0.04307301,0.0405354745681,0.043665522989099995,0.0465976450783,0.04878604981953999,0.050862305307000005,0.052261535356000005,0.052558394812999995,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Brazil,iron and steel,scrap,0.0,0.0,0.0,0.0,0.439804,1.405592,2.4395740000000004,3.1565552000000006,3.443243,3.677629,3.8165500000000003,0.0,0.0,0.0,Mt,
"current_policies,date=2021-18-10T11:53:02-07:00",Brazil,iron and steel,wholesale gas,0.01477722,0.045419,0.03658603,0.0500645,0.046597846168100004,0.0496071280891,0.0522381878783,0.054119565369540004,0.056095051607,0.057347330256,0.057423083813,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Canada,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.00131578078,0.00235868177,0.0032244363299999998,0.0038392158100000002,0.00400531421,0.0046073547,0.0051725849,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Canada,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.50031E-5,1.399511E-4,3.7922894000000005E-4,6.6837549E-4,8.729879000000001E-4,0.0010324204,0.0011505487,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Canada,iron and steel,delivered coal,0.12788292,0.12574688,0.12034715,0.09569184,0.1087843964,0.1180048328,0.12242596222999999,0.12567119503,0.12867235280000003,0.1304930051,0.1325243723,0.0,0.0,0.0,EJ,
