elec gen by gen tech
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,hydro,electricity,hydro,0.0643536,0.122414,0.120913,0.13694,0.141161,0.145383,0.149604,0.153825,0.158046,0.162267,0.166488,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.0014024,0.00414229,0.00768182,0.0115794,0.0156552,0.0196099,0.0231891,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,nuclear,electricity,Gen_II_LWR,0.0262116,0.0247428,0.0258156,0.0257004,0.0237508,0.0226368,0.021012,0.0187885,0.0159974,0.0128502,0.0097029,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.00501198,0.014152,0.0246892,0.0340349,0.038831,0.034812,0.0310766,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,refined liquids,electricity,refined liquids (steam/CT),0.0177984,0.0206856,0.0599868,0.0804853,0.0466131,0.0426127,0.0362384,0.0301142,0.0239163,0.0157347,0.0122805,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.00304179,0.0146773,0.023324,0.0246054,0.0239336,0.0235834,0.0254261,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,6.50016E-7,6.4066E-6,3.09928E-5,1.10942E-4,3.04535E-4,6.54364E-4,0.00114621,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,solar,electricity,PV,0.0,0.0,0.0,5.4E-5,8.35671E-4,0.0055278409999999995,0.014997051,0.026066651000000003,0.036401051000000004,0.04522044100000001,0.051680500000000004,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,5.13282E-7,3.0868519999999996E-6,1.1699342E-5,3.6962942E-5,9.6029542E-5,2.03227542E-4,3.5591026E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,wind,electricity,wind,0.0,2.7E-4,9.0E-5,0.0021564,0.00606475,0.02015565,0.044087150000000006,0.07401235,0.10517775,0.13201174999999998,0.15251549999999997,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.12501E-5,1.5082810000000002E-4,7.892631E-4,0.0025864431,0.0063013531000000005,0.012314003,0.020276975,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,6.72287E-6,4.3913570000000004E-5,1.4680157E-4,3.4710057000000003E-4,6.5617857E-4,0.00105438957,0.0014866826999999998,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,3.32355E-4,8.32907E-4,0.001548,0.00249428,0.00390344,0.00499676,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,biomass,electricity,biomass (conv),0.0,0.00187919,6.55188E-4,0.00136075,0.00207688,0.0030239,0.00447434,0.00636608,0.00837631,0.010818,0.01178,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.0220982,0.0452841,0.0692678,0.0945331,0.126461,0.150291,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,coal,electricity,coal (conv pul),0.439003,0.672506,0.653751,0.575343,0.632019,0.678665,0.709113,0.7225,0.722168,0.72553,0.707647,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,gas,electricity,gas (CC),0.0392081,0.0563008,0.0392846,0.019736,0.0296757,0.0479329,0.0767482,0.113927,0.155664,0.215467,0.260832,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,gas,electricity,gas (steam/CT),0.0329217,0.0523683,0.140118,0.176105,0.162563,0.165803,0.166745,0.156439,0.137321,0.122884,0.108415,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,geothermal,electricity,geothermal,0.00746642,0.0111492,0.0209732,0.0280251,0.0364376,0.0483185,0.0625633,0.0782477,0.0950893,0.0919066,0.102498,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,hydro,electricity,hydro,0.134392,0.139082,0.137653,0.1363,0.142893,0.149486,0.156079,0.162672,0.169265,0.175858,0.182451,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0012721,0.00239555,0.00381466,0.00540899,0.007112,0.0099587,0.00982994,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,refined liquids,electricity,refined liquids (steam/CT),0.0128232,0.010242,0.0209228,0.0240184,0.0132409,0.0121909,0.0104202,0.00894627,0.00759581,0.00599,0.00497823,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.00416236,0.0192741,0.033849,0.0461131,0.0583092,0.0771001,0.0909511,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,solar,electricity,CSP,0.0,3.59999E-6,1.07998E-5,1.43995E-5,1.43995E-5,1.43995E-5,1.43995E-5,1.43995E-5,1.43995E-5,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,3.97033E-6,2.09768E-5,7.89543E-5,2.55853E-4,7.10027E-4,0.0016801,0.00285979,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,solar,electricity,PV,0.0,2.80799E-4,0.00140397,0.0181974,0.029177599999999998,0.054953199999999994,0.09168559999999999,0.1302323,0.1674193,0.20196630000000002,0.2292599,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,8.57082E-6,2.9355620000000002E-5,8.487602E-5,2.3768702000000002E-4,6.1650102E-4,0.00142911202,0.0024270412,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,wind,electricity,wind,0.0,0.00539638,0.0240799,0.0497503,0.0646887,0.08692330000000001,0.11319820000000001,0.1404609,0.1672685,0.1517834,0.1608907,0.0,0.0,0.0,EJ,
