"","Mitigation measure","region","reduction","year"
"245","Price-induced contribution","South Korea",7.23436967364227,"2035"
"246","High scrap use contribution","South Korea",19.9619864630076,"2035"
"247","H2 contribution","South Korea",5.41169135452255,"2035"
"248","CCUS contribution","South Korea",9.31053933333333,"2035"
"249","1p5 emissions","South Korea",19.6050538024955,"2035"
"250","Ref emissions","Global",3898.67747549357,"2035"
"251","Energy efficiency contribution","Global",161.512149544631,"2035"
"252","Material efficiency contribution","Global",357.114014685945,"2035"
"253","Price-induced contribution","Global",236.077142049715,"2035"
"254","High scrap use contribution","Global",458.843754469499,"2035"
"255","H2 contribution","Global",310.678062025823,"2035"
"256","CCUS contribution","Global",1204.89929357094,"2035"
"257","1p5 emissions","Global",747.596810485067,"2035"
"258","Ref emissions","US",82.7713320814951,"2040"
"259","Energy efficiency contribution","US",6.72163932266923,"2040"
"260","Material efficiency contribution","US",13.1584466248832,"2040"
"261","Price-induced contribution","US",1.82435989695487,"2040"
"262","High scrap use contribution","US",12.1542273188699,"2040"
"263","H2 contribution","US",7.87650004174352,"2040"
"264","CCUS contribution","US",19.5920600333333,"2040"
"265","1p5 emissions","US",4.31850042148375,"2040"
"266","Ref emissions","ROW",571.23907067882,"2040"
"267","Energy efficiency contribution","ROW",37.8036369358372,"2040"
"268","Material efficiency contribution","ROW",68.6379074610618,"2040"
"269","Price-induced contribution","ROW",13.0003844851667,"2040"
"270","High scrap use contribution","ROW",23.1123236932947,"2040"
"271","H2 contribution","ROW",60.3574281001174,"2040"
"272","CCUS contribution","ROW",205.950315897882,"2040"
"273","1p5 emissions","ROW",90.2418480948179,"2040"
"274","Ref emissions","China",1816.00266001447,"2040"
"275","Energy efficiency contribution","China",120.299599056732,"2040"
"276","Material efficiency contribution","China",207.134594958339,"2040"
"277","Price-induced contribution","China",195.024414848452,"2040"
"278","High scrap use contribution","China",506.584347348362,"2040"
"279","H2 contribution","China",226.957937846107,"2040"
"280","CCUS contribution","China",453.750634333333,"2040"
"281","1p5 emissions","China",152.870182262883,"2040"
"282","Ref emissions","EU-27",184.218678384669,"2040"
"283","Energy efficiency contribution","EU-27",13.8660229230174,"2040"
"284","Material efficiency contribution","EU-27",25.6875329278573,"2040"
"285","Price-induced contribution","EU-27",10.5352847980378,"2040"
"286","High scrap use contribution","EU-27",34.2266821816203,"2040"
"287","H2 contribution","EU-27",14.0797161415638,"2040"
"288","CCUS contribution","EU-27",54.5863546433333,"2040"
"289","1p5 emissions","EU-27",24.0066338913231,"2040"
"290","Ref emissions","India",1020.79472951833,"2040"
"291","Energy efficiency contribution","India",35.7745141749015,"2040"
"292","Material efficiency contribution","India",116.938896647552,"2040"
"293","Price-induced contribution","India",54.2431212057383,"2040"
"294","High scrap use contribution","India",57.7919556067673,"2040"
"295","H2 contribution","India",61.7932980131677,"2040"
"296","CCUS contribution","India",200.985110333333,"2040"
"297","1p5 emissions","India",151.54243237212,"2040"
"298","Ref emissions","Japan",122.471303162291,"2040"
"299","Energy efficiency contribution","Japan",8.23189416624172,"2040"
"300","Material efficiency contribution","Japan",14.0444547270227,"2040"
"301","Price-induced contribution","Japan",5.78150996299988,"2040"
"302","High scrap use contribution","Japan",13.1152968421626,"2040"
"303","H2 contribution","Japan",5.62652482705942,"2040"
"304","CCUS contribution","Japan",58.7699350333333,"2040"
"305","1p5 emissions","Japan",16.8436639161806,"2040"
"306","Ref emissions","South Korea",89.2372468602069,"2040"
"307","Energy efficiency contribution","South Korea",5.9447667576345,"2040"
"308","Material efficiency contribution","South Korea",19.1823870816271,"2040"
"309","Price-induced contribution","South Korea",6.50200491971869,"2040"
"310","High scrap use contribution","South Korea",22.0864552790335,"2040"
"311","H2 contribution","South Korea",5.70908374882406,"2040"
"312","CCUS contribution","South Korea",9.20353943666667,"2040"
"313","1p5 emissions","South Korea",11.4022939117902,"2040"
"314","Ref emissions","Global",3886.73502070027,"2040"
"315","Energy efficiency contribution","Global",228.642073337034,"2040"
"316","Material efficiency contribution","Global",464.784220428343,"2040"
"317","Price-induced contribution","Global",250.978971892706,"2040"
"318","High scrap use contribution","Global",643.049009065044,"2040"
"319","H2 contribution","Global",383.402939376468,"2040"
"320","CCUS contribution","Global",1002.83794971122,"2040"
"321","1p5 emissions","Global",451.225554870598,"2040"
"322","Ref emissions","US",82.4792442397337,"2045"
"323","Energy efficiency contribution","US",8.94293621499051,"2045"
"324","Material efficiency contribution","US",15.6220278530557,"2045"
"325","Price-induced contribution","US",1.51505834420077,"2045"
"326","High scrap use contribution","US",16.8462703589956,"2045"
"327","H2 contribution","US",8.28142204655299,"2045"
"328","CCUS contribution","US",12.2619555666667,"2045"
"329","1p5 emissions","US",1.90640857304533,"2045"
"330","Ref emissions","ROW",583.891204895487,"2045"
"331","Energy efficiency contribution","ROW",52.2415256687087,"2045"
"332","Material efficiency contribution","ROW",88.2232964490263,"2045"
"333","Price-induced contribution","ROW",11.0299643232707,"2045"
"334","High scrap use contribution","ROW",56.1510377939229,"2045"
"335","H2 contribution","ROW",62.0441771639251,"2045"
"336","CCUS contribution","ROW",164.675328412435,"2045"
"337","1p5 emissions","ROW",65.3105853035491,"2045"
"338","Ref emissions","China",1662.80595452295,"2045"
