"","region","year","scenario","input","value"
"278","EU-27",2030,"1p5","refined liquids",0.05396323062298
"279","EU-27",2030,"1p5","refined liquids with CCS",0.007462931944
"280","EU-27",2030,"1p5 delay","biomass",0.0029122183
"281","EU-27",2030,"1p5 delay","coal",1.237978217
"282","EU-27",2030,"1p5 delay","coal with CCS",0
"283","EU-27",2030,"1p5 delay","electricity",0.432215184517
"284","EU-27",2030,"1p5 delay","gas",0.34458066475189
"285","EU-27",2030,"1p5 delay","gas with CCS",0
"286","EU-27",2030,"1p5 delay","hydrogen",0.045300421
"287","EU-27",2030,"1p5 delay","refined liquids",0.05557349276289
"288","EU-27",2030,"1p5 delay","refined liquids with CCS",0
"289","EU-27",2035,"Ref","biomass",0.01044741791
"290","EU-27",2035,"Ref","coal",1.66764556707
"291","EU-27",2035,"Ref","electricity",0.450131786948
"292","EU-27",2035,"Ref","gas",0.33674698979909
"293","EU-27",2035,"Ref","hydrogen",0.01329117307
"294","EU-27",2035,"Ref","refined liquids",0.05395700598909
"295","EU-27",2035,"1p5","biomass",0.00592022126
"296","EU-27",2035,"1p5","coal",0.266199437
"297","EU-27",2035,"1p5","coal with CCS",0.376754894
"298","EU-27",2035,"1p5","electricity",0.459663952311
"299","EU-27",2035,"1p5","gas",0.20475779477603
"300","EU-27",2035,"1p5","gas with CCS",0.11447851893
"301","EU-27",2035,"1p5","hydrogen",0.105369255
"302","EU-27",2035,"1p5","refined liquids",0.04520672523003
"303","EU-27",2035,"1p5","refined liquids with CCS",0.013258956416
"304","EU-27",2035,"1p5 delay","biomass",0.00504497367
"305","EU-27",2035,"1p5 delay","coal",0.719336977
"306","EU-27",2035,"1p5 delay","coal with CCS",0.13728791
"307","EU-27",2035,"1p5 delay","electricity",0.421406413282
"308","EU-27",2035,"1p5 delay","gas",0.27540920230198
"309","EU-27",2035,"1p5 delay","gas with CCS",0.0463201456
"310","EU-27",2035,"1p5 delay","hydrogen",0.0774618794
"311","EU-27",2035,"1p5 delay","refined liquids",0.04939600013498
"312","EU-27",2035,"1p5 delay","refined liquids with CCS",0.00546987549
"313","EU-27",2040,"Ref","biomass",0.013110028
"314","EU-27",2040,"Ref","coal",1.641623891
"315","EU-27",2040,"Ref","electricity",0.4440922282
"316","EU-27",2040,"Ref","gas",0.3291023719052
"317","EU-27",2040,"Ref","hydrogen",0.0141348689
"318","EU-27",2040,"Ref","refined liquids",0.0530607751402
"319","EU-27",2040,"1p5","biomass",0.0028146187
"320","EU-27",2040,"1p5","coal",0.0814815087
"321","EU-27",2040,"1p5","coal with CCS",0.391821074
"322","EU-27",2040,"1p5","electricity",0.439927822423
"323","EU-27",2040,"1p5","gas",0.103244832953
"324","EU-27",2040,"1p5","gas with CCS",0.15879497008
"325","EU-27",2040,"1p5","hydrogen",0.13021354234
"326","EU-27",2040,"1p5","refined liquids",0.03389460982202
"327","EU-27",2040,"1p5","refined liquids with CCS",0.0185414546266
"328","EU-27",2040,"1p5 delay","biomass",0.0038324534
"329","EU-27",2040,"1p5 delay","coal",0.378261062
"330","EU-27",2040,"1p5 delay","coal with CCS",0.24687387
"331","EU-27",2040,"1p5 delay","electricity",0.41780285136
"332","EU-27",2040,"1p5 delay","gas",0.2059825706592
"333","EU-27",2040,"1p5 delay","gas with CCS",0.0953279511
"334","EU-27",2040,"1p5 delay","hydrogen",0.0979344023
"335","EU-27",2040,"1p5 delay","refined liquids",0.0429095952808
"336","EU-27",2040,"1p5 delay","refined liquids with CCS",0.011054561414
"337","EU-27",2045,"Ref","biomass",0.014942961
"338","EU-27",2045,"Ref","coal",1.604418048
"339","EU-27",2045,"Ref","electricity",0.43815132851
"340","EU-27",2045,"Ref","gas",0.319889176102
"341","EU-27",2045,"Ref","hydrogen",0.0164976054
"342","EU-27",2045,"Ref","refined liquids",0.052130348893
"343","EU-27",2045,"1p5","biomass",0.000060586762
"344","EU-27",2045,"1p5","coal",0.001882434539
"345","EU-27",2045,"1p5","coal with CCS",0.264198039
"346","EU-27",2045,"1p5","electricity",0.41767078528141
"347","EU-27",2045,"1p5","gas",0.007456024591635
"348","EU-27",2045,"1p5","gas with CCS",0.19371828814
"349","EU-27",2045,"1p5","hydrogen",0.170416230845
"350","EU-27",2045,"1p5","refined liquids",0.021850255619583
"351","EU-27",2045,"1p5","refined liquids with CCS",0.0233379689792
"352","EU-27",2045,"1p5 delay","biomass",0.000693875079
"353","EU-27",2045,"1p5 delay","coal",0.02757295849
"354","EU-27",2045,"1p5 delay","coal with CCS",0.214214208
"355","EU-27",2045,"1p5 delay","electricity",0.4231862595048
"356","EU-27",2045,"1p5 delay","gas",0.049278913833939
"357","EU-27",2045,"1p5 delay","gas with CCS",0.18925393478
"358","EU-27",2045,"1p5 delay","hydrogen",0.162151058575
"359","EU-27",2045,"1p5 delay","refined liquids",0.027487474991689
"360","EU-27",2045,"1p5 delay","refined liquids with CCS",0.022011363617
"361","EU-27",2050,"Ref","biomass",0.015702521
"362","EU-27",2050,"Ref","coal",1.559894102
"363","EU-27",2050,"Ref","electricity",0.4285476433
"364","EU-27",2050,"Ref","gas",0.307409848906
"365","EU-27",2050,"Ref","hydrogen",0.0181256034
"366","EU-27",2050,"Ref","refined liquids",0.050767704435
"367","EU-27",2050,"1p5","biomass",0.0000000519367
"368","EU-27",2050,"1p5","coal",0.000012192886629
"369","EU-27",2050,"1p5","coal with CCS",0.124967524
"370","EU-27",2050,"1p5","electricity",0.386183089678791
"371","EU-27",2050,"1p5","gas",0.000067664786299
"372","EU-27",2050,"1p5","gas with CCS",0.163074131075
"373","EU-27",2050,"1p5","hydrogen",0.21701184433547
"374","EU-27",2050,"1p5","refined liquids",0.019020782602115
"375","EU-27",2050,"1p5","refined liquids with CCS",0.0208436220614
"376","EU-27",2050,"1p5 delay","biomass",0.000000047316028
"377","EU-27",2050,"1p5 delay","coal",0.0000073055297
"378","EU-27",2050,"1p5 delay","coal with CCS",0.117411869
"379","EU-27",2050,"1p5 delay","electricity",0.382887915064123
"380","EU-27",2050,"1p5 delay","gas",0.000038135102979
"381","EU-27",2050,"1p5 delay","gas with CCS",0.154296150166
"382","EU-27",2050,"1p5 delay","hydrogen",0.22399935178465
"383","EU-27",2050,"1p5 delay","refined liquids",0.018825716335137
"384","EU-27",2050,"1p5 delay","refined liquids with CCS",0.01970425642335
"385","Global",2015,"Ref","biomass",0
"386","Global",2015,"Ref","coal",26.8119471082
"387","Global",2015,"Ref","electricity",4.078091346
"388","Global",2015,"Ref","gas",2.31621911969
"389","Global",2015,"Ref","gas with CCS",0
"390","Global",2015,"Ref","hydrogen",0
"391","Global",2015,"Ref","refined liquids",0.4170329363
"392","Global",2015,"1p5","biomass",0
"393","Global",2015,"1p5","coal",26.8119461082
"394","Global",2015,"1p5","coal with CCS",0
"395","Global",2015,"1p5","electricity",4.078091346
"396","Global",2015,"1p5","gas",2.31621911969
"397","Global",2015,"1p5","gas with CCS",0
"398","Global",2015,"1p5","hydrogen",0
"399","Global",2015,"1p5","refined liquids",0.4170329363
"400","Global",2015,"1p5","refined liquids with CCS",0
"401","Global",2015,"1p5 delay","biomass",0
"402","Global",2015,"1p5 delay","coal",26.8119461082
"403","Global",2015,"1p5 delay","coal with CCS",0
"404","Global",2015,"1p5 delay","electricity",4.078091346
"405","Global",2015,"1p5 delay","gas",2.31621911969
"406","Global",2015,"1p5 delay","gas with CCS",0
"407","Global",2015,"1p5 delay","hydrogen",0
"408","Global",2015,"1p5 delay","refined liquids",0.4170329363
"409","Global",2015,"1p5 delay","refined liquids with CCS",0
"410","Global",2020,"Ref","biomass",0.0149567563895
"411","Global",2020,"Ref","coal",33.0390732035764
"412","Global",2020,"Ref","electricity",4.8294704480987
"413","Global",2020,"Ref","gas",2.12445313640665
"414","Global",2020,"Ref","gas with CCS",0.000000005528437
"415","Global",2020,"Ref","hydrogen",0.03652838698277
"416","Global",2020,"Ref","refined liquids",0.43059523345682
"417","Global",2020,"1p5","biomass",0.014421965727
"418","Global",2020,"1p5","coal",31.924067758287
"419","Global",2020,"1p5","coal with CCS",0
"420","Global",2020,"1p5","electricity",4.88575244610422
"421","Global",2020,"1p5","gas",2.80997707002044
"422","Global",2020,"1p5","gas with CCS",0
"423","Global",2020,"1p5","hydrogen",0
"424","Global",2020,"1p5","refined liquids",0.491267021454022
"425","Global",2020,"1p5","refined liquids with CCS",0
"426","Global",2020,"1p5 delay","biomass",0.014421965698
"427","Global",2020,"1p5 delay","coal",31.924067857287
"428","Global",2020,"1p5 delay","coal with CCS",0
"429","Global",2020,"1p5 delay","electricity",4.88575245100002
"430","Global",2020,"1p5 delay","gas",2.80997707199742
"431","Global",2020,"1p5 delay","gas with CCS",0
"432","Global",2020,"1p5 delay","hydrogen",0
"433","Global",2020,"1p5 delay","refined liquids",0.491267021454001
"434","Global",2020,"1p5 delay","refined liquids with CCS",0
"435","Global",2025,"Ref","biomass",0.131937811333464
"436","Global",2025,"Ref","coal",36.207153943899
"437","Global",2025,"Ref","electricity",5.28576830550174
"438","Global",2025,"Ref","gas",2.10586445084532
"439","Global",2025,"Ref","gas with CCS",0.000000062548372
"440","Global",2025,"Ref","hydrogen",0.126604108020033
"441","Global",2025,"Ref","refined liquids",0.514488811367356
"442","Global",2025,"1p5","biomass",0.5941556546115
"443","Global",2025,"1p5","coal",24.6292103989279
"444","Global",2025,"1p5","coal with CCS",1.24093467307
"445","Global",2025,"1p5","electricity",5.04906097956659
"446","Global",2025,"1p5","gas",2.38218521657075
"447","Global",2025,"1p5","gas with CCS",0.293129273088828
"448","Global",2025,"1p5","hydrogen",0.40973353133411
"449","Global",2025,"1p5","refined liquids",0.539362741919533
"450","Global",2025,"1p5","refined liquids with CCS",0.036884880765238
"451","Global",2025,"1p5 delay","biomass",0.0880739107763
"452","Global",2025,"1p5 delay","coal",32.349646037637
"453","Global",2025,"1p5 delay","coal with CCS",0
"454","Global",2025,"1p5 delay","electricity",5.25313514773488
"455","Global",2025,"1p5 delay","gas",2.61856600157323
"456","Global",2025,"1p5 delay","gas with CCS",0.00000000492025
"457","Global",2025,"1p5 delay","hydrogen",0.244024035762
"458","Global",2025,"1p5 delay","refined liquids",0.551074565541632
"459","Global",2025,"1p5 delay","refined liquids with CCS",0
"460","Global",2030,"Ref","biomass",0.314535257307521
"461","Global",2030,"Ref","coal",37.312808686942
"462","Global",2030,"Ref","electricity",5.56673372531739
"463","Global",2030,"Ref","gas",2.13908229918648
"464","Global",2030,"Ref","gas with CCS",0.000000178173813
"465","Global",2030,"Ref","hydrogen",0.252639267515937
"466","Global",2030,"Ref","refined liquids",0.603744974346806
"467","Global",2030,"1p5","biomass",0.8127823128986
"468","Global",2030,"1p5","coal",14.5646503406637
"469","Global",2030,"1p5","coal with CCS",5.87545445602
"470","Global",2030,"1p5","electricity",5.71478146439198
"471","Global",2030,"1p5","gas",1.7253851448084
"472","Global",2030,"1p5","gas with CCS",0.902104170773381
"473","Global",2030,"1p5","hydrogen",1.35997725252192
"474","Global",2030,"1p5","refined liquids",0.575193447740818
