"","region","scenario","sector","subsector","output","technology","Units","year","share"
"134","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2045,1.09265538557531
"135","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2045,2.31886638550665
"136","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2045,0.937317996976505
"137","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2045,7.78816412956859
"138","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2045,88.1762809240849
"139","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2045,16.9667318964509
"140","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2045,11.7217660594722
"141","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2045,0.710590722389993
"142","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2045,1.191201012773
"143","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2045,3.64540697194694
"144","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2045,0.0432919608417534
"145","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2045,0.200688276051747
"146","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2045,0.0799077070879001
"147","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2045,2.89313911695125
"148","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2045,2.51086223524837
"149","China","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2045,56.5130933704273
"150","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2045,56.3167966289643
"151","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2045,5.7248499057922
"152","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2045,20.9014988377974
"153","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2045,19.1778662723464
"154","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2045,0.0546881055813619
"155","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2050,0.014403761779745
"156","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2050,0.0195546249379425
"157","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2050,2.6367087826733
"158","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2050,0.0020159484529431
"159","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2050,0.00282471024990217
"160","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2050,86.7302005437309
"161","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2050,8.7095757944941
"162","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2050,8.18332300448773
"163","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2050,0.0126254993444879
"164","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2050,0.0150054432354531
"165","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2050,4.75391400313554
"166","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2050,0.000782554053936796
"167","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2050,0.000571319560945655
"168","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2050,0.0714698246761502
"169","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2050,1.88605850214738
"170","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2050,1.79937409624873
"171","China","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2050,62.6811162766726
