"","region","scenario","sector","subsector","output","technology","Units","year","value"
"76","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,439.2651
"77","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,214.1881
"78","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,912.3865
"79","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,23.54135
"80","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,25.23564
"81","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,15.015001
"82","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,15.33363
"83","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,13.110914
"84","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,1.1158048
"85","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,242.38678
"86","China","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,351.23493
"87","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,56.47644
"88","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,63.31975
"89","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,138.86736
"90","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,0.31701436
"91","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,18.186737
"92","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,28.491719
"93","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,18.055617
"94","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2040,209.5694
"95","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2040,85.56526
"96","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2040,844.3134
"97","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2040,20.528908
"98","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2040,19.953855
"99","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2040,23.941355
"100","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2040,9.134949
"101","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2040,5.236157
"102","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2040,0.8199821
"103","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2040,346.33064
"104","China","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2040,408.1838
"105","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2040,53.54917
"106","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2040,125.724821
"107","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2040,177.89361
"108","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2040,0.38436088
"109","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2045,10.930634
"110","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2045,10.973129
"111","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2045,20.14144
"112","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2045,60.758888
"113","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2045,10.791575
"114","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2045,765.8903
"115","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2045,13.00664
"116","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2045,9.55541
"117","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2045,31.663638
"118","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2045,1.849373
"119","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2045,0.3923975
"120","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2045,0.6940703
"121","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2045,396.3235
"122","China","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2045,419.1082
"123","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2045,49.72547
"124","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2045,171.73502
"125","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2045,199.1284
"126","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2045,0.47501538
