CO2 emissions by subsector
scenario,region,sector,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,regional corn for ethanol,regional corn for ethanol,0.0,0.0,-0.00246161,-0.00328083,-0.0386984,-0.0733845,-0.138806,-0.247029,-0.423458,-0.672891,-0.993326,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,resid others,biomass,3.52595,4.98523,5.40781,6.15559,5.93259,7.36356,9.68606,11.2385,11.6459,11.4561,10.9955,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,resid others,coal,0.00542724,5.46E-4,0.00164346,5.5146E-4,4.56014E-4,5.4972E-4,6.81037E-4,7.70089E-4,8.33872E-4,8.70502E-4,8.84434E-4,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,resid others,refined liquids,0.393364,0.794294,0.887351,0.961194,1.28573,1.21662,1.156,1.10685,1.1155,1.09766,1.10814,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_aviation_intl,International Aviation,0.367277,0.684661,0.852476,0.978143,1.15601,1.40628,1.7727,2.24422,2.87646,3.67764,4.70162,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_freight,Domestic Ship,0.0918873,0.00738325,0.0138473,0.0110053,0.0151736,0.0155393,0.0164201,0.0181759,0.0213586,0.0253893,0.0306046,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_freight,Freight Rail,0.01894429,0.0209914,0.0318399,0.0446602,0.0508535,0.0595819,0.0724912,0.0871622,0.106044,0.129862,0.157466,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_freight_road,Heavy truck,0.236408,0.352932,0.535304,0.750853,0.84468,0.9555130000000001,1.061476,1.1377384,1.2340801,1.2999200000000002,1.335575,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_freight_road,Light truck,0.104274,0.155669,0.236108,0.33118,0.361715,0.3886035,0.3509864,0.2744772,0.23162139999999998,0.19214710000000002,0.1710536,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_freight_road,Medium truck,1.01213,1.51101,2.29179,3.21462,3.5919,4.026008,4.387535,4.547335,4.767296,4.842455,4.808219,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_pass,Domestic Aviation,0.295099,0.550112,0.684948,0.785919,1.04992,1.33668,1.79428,2.46407,3.41354,4.73889,6.64401,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_pass,Passenger Rail,0.00156212,0.0023324,0.00353779,0.00496271,0.00615411,0.00713429,0.00840932,0.00996295,0.0118953,0.0139098,0.0160051,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_pass_road,Bus,0.312326,0.466257,0.707185,0.991945,1.32024,1.258035,0.892212,0.752896,0.8065869999999999,0.9171320000000001,1.0302479999999998,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,0.0389705,0.0581755,0.0882383,0.123767,0.0971501,0.0426361,0.0306807,0.0295224,0.0296918,0.0298852,0.0313384,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,0.532896,0.795536,1.20661,1.69247,1.3444560199999998,1.32127434,1.31374573,1.296949772,1.300324531,1.4695135,1.5998241999999998,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_pass_road_LDV_4W,Large Car and Truck,0.254897,0.380524,0.577153,0.809552,0.65355801,0.70209659,0.8549226940000001,1.027367951,1.306234605,1.7650488000000002,2.4118141,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_pass_road_LDV_4W,Mini Car,0.202757,0.302687,0.459093,0.643955,0.5127521180000001,0.589827043,0.795216916,0.9916051869999999,1.268392499,1.6815383400000001,2.1970321,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,trn_shipping_intl,International Ship,0.779018,0.823904,1.70951,1.81996,2.04956,2.14892,2.27807,2.45545,2.70029,2.97234,3.29809,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,H2 central production,biomass,0.0,0.0,0.0,0.0,2.13943E-4,0.00146471,0.00389144,0.0077068,0.0120898,0.0160438,0.0206631,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,H2 central production,coal,0.0,0.0,0.0,0.0,9.9795E-4,0.00688313,0.0180445,0.0362535,0.0604976,0.0863749,0.119393,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,H2 central production,gas,0.0,0.0,0.0,0.0,7.86565E-4,0.00516242,0.0137548,0.0272443,0.0432567,0.0605168,0.0785443,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,H2 forecourt production,gas,0.0,0.0,0.0,0.0,8.95944E-4,0.00608953,0.0163971,0.0332142,0.0543618,0.0776239,0.10497,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,N fertilizer,gas,0.859508,1.66702,2.12257,2.14107,2.2105683999999997,2.2794218,2.2842842,2.1579219,2.0101462000000003,1.9715477000000001,1.98201903,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,agricultural energy use,biomass,0.0,0.0029233,0.0033419,0.003772,0.01180624,0.03682014,0.075294666,0.11317717,0.13816433,0.16059877,0.1786852,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,agricultural energy use,gas,0.0,0.0,0.0202094,0.0356647,0.03796219,0.03969156,0.04008849,0.03928083,0.03848096,0.03695604,0.035111,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,agricultural energy use,refined liquids,0.36857,2.15733,2.7382,1.76097,1.867915,1.93378,1.9592580000000002,1.9741768,2.026085,2.057398,2.085092,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,alumina,biomass,0.0,0.00108359,0.00578238,0.00461644,0.005311833,0.005657148000000001,0.0059154640000000005,0.00609344,0.0062005919999999996,0.006239778,0.0061957097,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,alumina,coal,0.052999,0.0490113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,alumina,gas,0.0,0.0,4.98237E-4,4.0209E-4,4.626471E-4,4.92718E-4,5.152094999999999E-4,5.307022E-4,5.400582E-4,5.435187E-4,5.3973726E-4,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,alumina,refined liquids,0.0353537,0.0195445,0.0134955,0.0145142,0.016700279999999998,0.0177829,0.018593830000000002,0.01916347,0.01952605,0.019674854,0.019562178,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,backup_electricity,gas,0.0,0.0,0.0,0.0,0.014354,0.0770592,0.2374,0.460132,0.715184,0.963444,1.2184,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,cement,cement,4.167,9.053,12.308,12.308,12.560244,13.397283,14.123247000000001,14.658335999999998,15.087051000000002,15.5528413,15.958666800000001,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,chemical energy use,biomass,0.0,0.0,0.00673905,0.00866406,0.009423563,0.010692061000000001,0.012435676000000001,0.015037352,0.017658350000000003,0.019151143000000002,0.0199512467,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,chemical energy use,refined liquids,0.0106663,0.0213326,0.00164053,0.0508677,0.05518612,0.06216140999999999,0.07217095,0.08924176,0.11027177000000002,0.125654716,0.138703368,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,chemical feedstocks,gas,0.982223,2.46266,2.96925,2.73646,2.93123,3.18525,3.38537,3.46597,3.47207,3.49125,3.4678,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,comm heating,coal,0.0,8.18983E-6,8.19003E-6,5.46001E-6,5.4299E-6,6.28205E-6,6.71774E-6,7.21577E-6,7.73995E-6,8.18131E-6,8.49628E-6,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,comm heating,refined liquids,0.0502078,0.125353,0.272402,0.157157,0.167471,0.22715,0.308929,0.408426,0.525298,0.658172,0.807353,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,comm others,biomass,0.973476,1.63082,1.40481,1.50325,1.5189,1.55145,1.57344,1.56204,1.4748,1.33959,1.22684,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,comm others,coal,0.0,4.914E-5,4.641E-5,4.368E-5,4.00227E-5,3.93438E-5,3.74354E-5,3.64655E-5,3.57991E-5,3.41195E-5,3.26611E-5,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,comm others,gas,0.0130768,0.0273449,0.393504,0.589066,0.59036,0.730831,0.897507,1.06481,1.22178,1.37091,1.49814,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,comm others,refined liquids,0.0947109,0.236464,0.513846,0.296452,0.285282,0.286331,0.302253,0.321976,0.340586,0.347935,0.3578,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,construction energy use,biomass,0.0,0.0,9.63698E-4,9.63701E-4,0.0010027060000000001,0.001038035,0.00104879,0.0010255595,9.84707E-4,9.148899E-4,8.370568E-4,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,construction energy use,gas,0.411929,0.795918,0.54983,0.596196,0.61923,0.636684,0.6417263,0.6296908,0.6109133,0.5814685,0.5452524,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,construction energy use,refined liquids,0.044304,0.0877885,0.479966,0.368384,0.3804726,0.3875172,0.3919589,0.39563060000000005,0.4017157,0.404401,0.4046438,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,csp_backup,gas,0.0,0.0,0.0,0.0,4.15495E-6,9.0914E-6,1.72487E-5,2.39489E-5,2.86706E-5,0.0,0.0,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,elec_biomass (IGCC),biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.030831639999999997,0.083027491,0.156087557,0.244031474,0.34268064800000003,0.44348300299999993,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,elec_biomass (conv),biomass (conv),0.0,0.0,0.0,1.925494E-4,0.093491443078,0.23247219375400002,0.447503075931,0.7056856401186,0.9469349076093998,1.1426817844374,1.2998898775832999,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,elec_coal (IGCC),coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.26770982,0.5747644800000001,0.8990324300000001,1.22322064,1.5508859099999999,1.8578367100000002,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,elec_coal (conv pul),coal (conv pul),0.8103932,3.5654610000000004,3.1669650000000003,5.0591,5.7824217,6.438578199999999,7.0293007,7.482995899999999,7.776173199999998,7.963774100000001,8.0728615,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,elec_gas (CC),gas (CC),2.3763521,5.623894,7.544302,9.624158999999999,11.447137999999999,15.223726,20.397669999999998,26.771293000000007,33.809596,41.658682000000006,49.167183,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,elec_gas (steam/CT),gas (steam/CT),2.863985,12.238795999999999,14.556037,18.625404000000003,19.210748,21.493940000000002,23.259557,24.035001,23.7276782,22.9739275,21.9098546,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,elec_refined liquids (CC),refined liquids (CC),0.0,0.0,0.0,0.0,1.1037088999999998,2.3014458999999996,4.08210315,6.22797517,8.397737789999999,10.474354720000001,12.47367347,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,elec_refined liquids (steam/CT),refined liquids (steam/CT),7.271412,8.360102999999999,9.282168,12.563508,8.068025,7.993208400000001,8.1157866,8.120779800000001,8.0311529,7.662335499999999,7.6583429,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,gas pipeline,gas pipeline,0.268675,0.727559,0.687141,0.702593,0.754387,0.892065,1.0419,1.18573,1.31748,1.45645,1.58114,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,gas processing,biomass gasification,0.0,0.0,3.33779E-6,0.0,3.19729E-4,9.67654E-4,0.00184275,0.00303229,0.00465077,0.00620606,0.008617,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,gas processing,coal gasification,0.00694534,0.0111121,0.00764052,0.00277857,0.00919575,0.0230737,0.0399641,0.0638889,0.101523,0.142706,0.208799,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,iron and steel,BLASTFUR,2.71774E-4,2.17336E-4,3.04912E-5,2.26375E-5,2.9493506409999997E-5,7.241314646000001E-5,1.6896175281E-4,3.2862400525E-4,4.757789739E-4,6.082421342E-4,7.051258325E-4,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,iron and steel,EAF with DRI,0.166246,0.222155,0.196719,0.122424,0.1444971,0.17939080000000002,0.2113835,0.23866400999999998,0.2614229,0.2794779,0.2921446,0.0,0.0,0.0,MTC,
