elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,gas,electricity,gas (CC),0.00903386,0.0270923,0.0,0.00812845,0.0068093,0.0290271,0.135269,0.334284,0.651865,1.15066,1.8719,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,gas,electricity,gas (steam/CT),0.0176242,0.0462291,0.0966987,0.144202,0.116668,0.134521,0.193991,0.248697,0.290478,0.328551,0.365588,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.0,0.00352363,0.0174984,0.0380135,0.0640915,0.0950533,0.125967,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,hydro,electricity,hydro,0.0804331,0.108752,0.114311,0.11812,0.158743,0.203657,0.246425,0.289193,0.331962,0.37473,0.417498,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.0,1.52002E-4,6.10916E-4,0.00124789,0.00212107,0.00336791,0.00508189,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0,0.00573282,0.0289338,0.0626661,0.116334,0.188836,0.273772,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,refined liquids,electricity,refined liquids (steam/CT),0.0167248,0.0221465,0.0330202,0.0400952,0.0245832,0.0232598,0.0311646,0.036792,0.0426333,0.0452058,0.0468758,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0103137,0.0385192,0.0652043,0.107241,0.178976,0.291264,0.456578,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,0.0,5.45877E-6,7.56772E-5,3.95582E-4,0.00149242,0.00458227,0.0117267,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,solar,electricity,PV,0.0,1.95E-5,1.518E-4,0.0023911,0.00235922,0.009450090000000001,0.037407789999999996,0.07963039,0.13884549,0.22281438999999997,0.34101739,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,0.0,5.92382E-6,6.563022E-5,3.1100522E-4,0.00112331922,0.0034215492200000003,0.008815829220000002,0.0,0.0,0.0,EJ,
