"","region","scenario","sector","subsector","input","technology","Units","year","value"
"86","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2020,0.0344819
"87","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2020,0.0360401
"88","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2020,0
"89","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2020,0
"90","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2020,0
"91","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2020,0
"92","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2020,0
"93","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2020,0
"94","China","1p5 delay","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2020,0
"95","China","1p5","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2020,0
"96","China","Ref","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2020,0
"97","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2020,0
"98","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2020,0
"99","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2020,0
"100","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2020,0
"101","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2020,0
"102","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2020,0
"103","China","1p5 delay","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2020,0.037363113
"104","China","1p5","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2020,0.037360855
"105","China","Ref","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2020,0.004231561
"106","China","1p5 delay","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2020,0.06603294
"107","China","1p5","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2020,0.06602886
"108","China","Ref","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2020,0.00747855
"109","China","1p5 delay","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2020,0.033344135
"110","China","1p5","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2020,0.033342093
"111","China","Ref","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2020,0.003776391
"112","China","1p5 delay","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2020,0.6618033
"113","China","1p5","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2020,0.6617625
"114","China","Ref","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2020,0.0749525
"115","China","1p5 delay","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2020,0.430682
"116","China","1p5","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2020,0.430683
"117","China","Ref","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2020,0.357828
"118","China","1p5 delay","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2020,0.0410886
"119","China","1p5","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2020,0.0410887
"120","China","Ref","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2020,0.0341381
"121","China","1p5 delay","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2020,0
"122","China","1p5","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2020,0
"123","China","Ref","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2020,0
"124","China","1p5 delay","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2020,0
"125","China","1p5","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2020,0
"126","China","Ref","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2020,0
"127","China","1p5 delay","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2025,0.03978671
"128","China","1p5","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2025,0.31221395
"129","China","Ref","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2025,0.05207075
"130","China","1p5 delay","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2025,0.001299987
