"","region","scenario","sector","Units","year","emission","value","year "
"107","Global","1p5","iron and steel","MTCO2",2035,"value",1024.44820410216,"2035"
"108","Global","Ref","iron and steel","MTCO2",2035,"value",3915.70082954153,"2035"
"109","Global","1p5 delay","iron and steel","MTCO2",2040,"value",1148.95664769959,"2040"
"110","Global","1p5","iron and steel","MTCO2",2040,"value",647.877925780889,"2040"
"111","Global","Ref","iron and steel","MTCO2",2040,"value",3893.23585554075,"2040"
"112","Global","1p5 delay","iron and steel","MTCO2",2045,"value",549.410430344089,"2045"
"113","Global","1p5","iron and steel","MTCO2",2045,"value",320.654048209155,"2045"
"114","Global","Ref","iron and steel","MTCO2",2045,"value",3804.15566492749,"2045"
"115","Global","1p5 delay","iron and steel","MTCO2",2050,"value",100.168795934431,"2050"
"116","Global","1p5","iron and steel","MTCO2",2050,"value",97.7888379591502,"2050"
"117","Global","Ref","iron and steel","MTCO2",2050,"value",3664.26974252926,"2050"
"118","Global","1p5 delay","iron and steel","MTCO2",2065,"value",0,"2065"
"119","Global","1p5","iron and steel","MTCO2",2065,"value",0,"2065"
"120","Global","Ref","iron and steel","MTCO2",2065,"value",0,"2065"
"121","Global","1p5 delay","iron and steel","MTCO2",2080,"value",0,"2080"
"122","Global","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
"123","Global","Ref","iron and steel","MTCO2",2080,"value",0,"2080"
"124","Global","1p5 delay","iron and steel","MTCO2",2095,"value",0,"2095"
"125","Global","1p5","iron and steel","MTCO2",2095,"value",0,"2095"
"126","Global","Ref","iron and steel","MTCO2",2095,"value",0,"2095"
"127","India","1p5 delay","iron and steel","MTCO2",1990,"value",54.8438025666667,"1990"
"128","India","1p5","iron and steel","MTCO2",1990,"value",54.8438025666667,"1990"
"129","India","Ref","iron and steel","MTCO2",1990,"value",54.8438025666667,"1990"
"130","India","1p5 delay","iron and steel","MTCO2",2005,"value",108.553632742726,"2005"
"131","India","1p5","iron and steel","MTCO2",2005,"value",108.553632742726,"2005"
"132","India","Ref","iron and steel","MTCO2",2005,"value",108.553632742726,"2005"
"133","India","1p5 delay","iron and steel","MTCO2",2010,"value",175.547375188704,"2010"
"134","India","1p5","iron and steel","MTCO2",2010,"value",175.547375188704,"2010"
"135","India","Ref","iron and steel","MTCO2",2010,"value",175.547375188704,"2010"
"136","India","1p5 delay","iron and steel","MTCO2",2015,"value",267.220001452556,"2015"
"137","India","1p5","iron and steel","MTCO2",2015,"value",267.220001452556,"2015"
"138","India","Ref","iron and steel","MTCO2",2015,"value",267.220001452556,"2015"
"139","India","1p5 delay","iron and steel","MTCO2",2020,"value",336.188178825583,"2020"
"140","India","1p5","iron and steel","MTCO2",2020,"value",336.188141420157,"2020"
"141","India","Ref","iron and steel","MTCO2",2020,"value",345.79419561845,"2020"
"142","India","1p5 delay","iron and steel","MTCO2",2025,"value",512.894969763544,"2025"
"143","India","1p5","iron and steel","MTCO2",2025,"value",254.738754272828,"2025"
"144","India","Ref","iron and steel","MTCO2",2025,"value",591.465940504969,"2025"
"145","India","1p5 delay","iron and steel","MTCO2",2030,"value",595.315501845997,"2030"
"146","India","1p5","iron and steel","MTCO2",2030,"value",196.983090707685,"2030"
"147","India","Ref","iron and steel","MTCO2",2030,"value",774.55060497212,"2030"
"148","India","1p5 delay","iron and steel","MTCO2",2035,"value",415.57541831927,"2035"
"149","India","1p5","iron and steel","MTCO2",2035,"value",184.796067966195,"2035"
"150","India","Ref","iron and steel","MTCO2",2035,"value",919.565353110855,"2035"
"151","India","1p5 delay","iron and steel","MTCO2",2040,"value",275.907538250256,"2040"
"152","India","1p5","iron and steel","MTCO2",2040,"value",186.298211462669,"2040"
"153","India","Ref","iron and steel","MTCO2",2040,"value",1026.25356360889,"2040"
"154","India","1p5 delay","iron and steel","MTCO2",2045,"value",189.396719538365,"2045"
"155","India","1p5","iron and steel","MTCO2",2045,"value",145.766106741793,"2045"
"156","India","Ref","iron and steel","MTCO2",2045,"value",1096.65896260601,"2045"
"157","India","1p5 delay","iron and steel","MTCO2",2050,"value",33.8242218212102,"2050"
"158","India","1p5","iron and steel","MTCO2",2050,"value",35.1393266500878,"2050"
"159","India","Ref","iron and steel","MTCO2",2050,"value",1132.67932924846,"2050"
"160","India","1p5 delay","iron and steel","MTCO2",2065,"value",0,"2065"
"161","India","1p5","iron and steel","MTCO2",2065,"value",0,"2065"
"162","India","Ref","iron and steel","MTCO2",2065,"value",0,"2065"
"163","India","1p5 delay","iron and steel","MTCO2",2080,"value",0,"2080"
"164","India","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
"165","India","Ref","iron and steel","MTCO2",2080,"value",0,"2080"
"166","India","1p5 delay","iron and steel","MTCO2",2095,"value",0,"2095"
"167","India","1p5","iron and steel","MTCO2",2095,"value",0,"2095"
"168","India","Ref","iron and steel","MTCO2",2095,"value",0,"2095"
"169","Japan","1p5 delay","iron and steel","MTCO2",1990,"value",177.443834876753,"1990"
"170","Japan","1p5","iron and steel","MTCO2",1990,"value",177.443834876753,"1990"
"171","Japan","Ref","iron and steel","MTCO2",1990,"value",177.443834876753,"1990"
"172","Japan","1p5 delay","iron and steel","MTCO2",2005,"value",162.064115805065,"2005"
"173","Japan","1p5","iron and steel","MTCO2",2005,"value",162.064115805065,"2005"
"174","Japan","Ref","iron and steel","MTCO2",2005,"value",162.064115805065,"2005"
"175","Japan","1p5 delay","iron and steel","MTCO2",2010,"value",164.406370830829,"2010"
"176","Japan","1p5","iron and steel","MTCO2",2010,"value",164.406370830829,"2010"
"177","Japan","Ref","iron and steel","MTCO2",2010,"value",164.406370830829,"2010"
"178","Japan","1p5 delay","iron and steel","MTCO2",2015,"value",154.390642669409,"2015"
"179","Japan","1p5","iron and steel","MTCO2",2015,"value",154.390642669409,"2015"
"180","Japan","Ref","iron and steel","MTCO2",2015,"value",154.390642669409,"2015"
"181","Japan","1p5 delay","iron and steel","MTCO2",2020,"value",145.425524125876,"2020"
"182","Japan","1p5","iron and steel","MTCO2",2020,"value",145.425340608158,"2020"
"183","Japan","Ref","iron and steel","MTCO2",2020,"value",145.959598953529,"2020"
"184","Japan","1p5 delay","iron and steel","MTCO2",2025,"value",130.893517180131,"2025"
"185","Japan","1p5","iron and steel","MTCO2",2025,"value",111.783537252492,"2025"
"186","Japan","Ref","iron and steel","MTCO2",2025,"value",143.891988133039,"2025"
"187","Japan","1p5 delay","iron and steel","MTCO2",2030,"value",114.340204675079,"2030"
"188","Japan","1p5","iron and steel","MTCO2",2030,"value",78.7137165708597,"2030"
"189","Japan","Ref","iron and steel","MTCO2",2030,"value",138.709990749073,"2030"
"190","Japan","1p5 delay","iron and steel","MTCO2",2035,"value",78.0088295003176,"2035"
"191","Japan","1p5","iron and steel","MTCO2",2035,"value",50.2677865011482,"2035"
"192","Japan","Ref","iron and steel","MTCO2",2035,"value",133.467118737052,"2035"
"193","Japan","1p5 delay","iron and steel","MTCO2",2040,"value",53.6538480642833,"2040"
"194","Japan","1p5","iron and steel","MTCO2",2040,"value",35.8804469425773,"2040"
"195","Japan","Ref","iron and steel","MTCO2",2040,"value",128.47320012187,"2040"
"196","Japan","1p5 delay","iron and steel","MTCO2",2045,"value",26.3005019349602,"2045"
"197","Japan","1p5","iron and steel","MTCO2",2045,"value",13.5873781392642,"2045"
"198","Japan","Ref","iron and steel","MTCO2",2045,"value",123.442815839763,"2045"
"199","Japan","1p5 delay","iron and steel","MTCO2",2050,"value",3.25930217733853,"2050"
"200","Japan","1p5","iron and steel","MTCO2",2050,"value",3.31465802317284,"2050"
"201","Japan","Ref","iron and steel","MTCO2",2050,"value",118.668313027224,"2050"
"202","Japan","1p5 delay","iron and steel","MTCO2",2065,"value",0,"2065"
"203","Japan","1p5","iron and steel","MTCO2",2065,"value",0,"2065"
"204","Japan","Ref","iron and steel","MTCO2",2065,"value",0,"2065"
"205","Japan","1p5 delay","iron and steel","MTCO2",2080,"value",0,"2080"
"206","Japan","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
"207","Japan","Ref","iron and steel","MTCO2",2080,"value",0,"2080"
"208","Japan","1p5 delay","iron and steel","MTCO2",2095,"value",0,"2095"
"209","Japan","1p5","iron and steel","MTCO2",2095,"value",0,"2095"
"210","Japan","Ref","iron and steel","MTCO2",2095,"value",0,"2095"
"211","ROW","1p5 delay","iron and steel","MTCO2",1990,"value",496.304414630286,"1990"
"212","ROW","1p5","iron and steel","MTCO2",1990,"value",496.304414630286,"1990"
"213","ROW","Ref","iron and steel","MTCO2",1990,"value",496.304414630286,"1990"
"214","ROW","1p5 delay","iron and steel","MTCO2",2005,"value",405.544592938365,"2005"
"215","ROW","1p5","iron and steel","MTCO2",2005,"value",405.544592938367,"2005"
"216","ROW","Ref","iron and steel","MTCO2",2005,"value",405.544592938367,"2005"
"217","ROW","1p5 delay","iron and steel","MTCO2",2010,"value",448.781028597056,"2010"
"218","ROW","1p5","iron and steel","MTCO2",2010,"value",448.781028597056,"2010"
"219","ROW","Ref","iron and steel","MTCO2",2010,"value",448.781028597056,"2010"
"220","ROW","1p5 delay","iron and steel","MTCO2",2015,"value",476.250161919039,"2015"
"221","ROW","1p5","iron and steel","MTCO2",2015,"value",476.250161919039,"2015"
"222","ROW","Ref","iron and steel","MTCO2",2015,"value",476.250161919039,"2015"
"223","ROW","1p5 delay","iron and steel","MTCO2",2020,"value",494.932661657469,"2020"
"224","ROW","1p5","iron and steel","MTCO2",2020,"value",494.932381751194,"2020"
"225","ROW","Ref","iron and steel","MTCO2",2020,"value",499.254805958206,"2020"
"226","ROW","1p5 delay","iron and steel","MTCO2",2025,"value",491.372489767469,"2025"
"227","ROW","1p5","iron and steel","MTCO2",2025,"value",377.124682370402,"2025"
"228","ROW","Ref","iron and steel","MTCO2",2025,"value",527.067606364796,"2025"
"229","ROW","1p5 delay","iron and steel","MTCO2",2030,"value",460.143320395432,"2030"
"230","ROW","1p5","iron and steel","MTCO2",2030,"value",264.239231983313,"2030"
"231","ROW","Ref","iron and steel","MTCO2",2030,"value",546.499086955801,"2030"
"232","ROW","1p5 delay","iron and steel","MTCO2",2035,"value",315.646048009711,"2035"
"233","ROW","1p5","iron and steel","MTCO2",2035,"value",178.910215063623,"2035"
"234","ROW","Ref","iron and steel","MTCO2",2035,"value",558.559603509393,"2035"
"235","ROW","1p5 delay","iron and steel","MTCO2",2040,"value",227.532614481186,"2040"
"236","ROW","1p5","iron and steel","MTCO2",2040,"value",143.230295191136,"2040"
"237","ROW","Ref","iron and steel","MTCO2",2040,"value",573.892974111621,"2040"
"238","ROW","1p5 delay","iron and steel","MTCO2",2045,"value",130.33922644061,"2045"
"239","ROW","1p5","iron and steel","MTCO2",2045,"value",90.881551839588,"2045"
"240","ROW","Ref","iron and steel","MTCO2",2045,"value",584.829485070258,"2045"
