"","region","scenario","sector","subsector","input","technology","Units","year","value","input2"
"126","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2020,0.00000623052,"gas"
"127","China","1p5","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2020,0.037360018,"coal"
"128","China","1p5 delay","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2020,0.037360018,"coal"
"129","China","Ref","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2020,0.004235797,"coal"
"130","China","1p5","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2020,0.0660274,"electricity"
"131","China","1p5 delay","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2020,0.0660274,"electricity"
"132","China","Ref","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2020,0.00748603,"electricity"
"133","China","1p5","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2020,0.03334136,"refined liquids"
"134","China","1p5 delay","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2020,0.03334136,"refined liquids"
"135","China","Ref","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2020,0.003780168,"refined liquids"
"136","China","1p5","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2020,0.6617478,"gas"
"137","China","1p5 delay","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2020,0.6617478,"gas"
"138","China","Ref","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2020,0.0750275,"gas"
"139","China","1p5","iron and steel","EAF with DRI","coal with CCS","EAF with DRI CCS","EJ",2020,0,"coal with CCS"
"140","China","1p5 delay","iron and steel","EAF with DRI","coal with CCS","EAF with DRI CCS","EJ",2020,0,"coal with CCS"
"141","China","1p5","iron and steel","EAF with DRI","electricity","EAF with DRI CCS","EJ",2020,0,"electricity"
"142","China","1p5 delay","iron and steel","EAF with DRI","electricity","EAF with DRI CCS","EJ",2020,0,"electricity"
"143","China","1p5","iron and steel","EAF with DRI","refined liquids with CCS","EAF with DRI CCS","EJ",2020,0,"refined liquids with CCS"
"144","China","1p5 delay","iron and steel","EAF with DRI","refined liquids with CCS","EAF with DRI CCS","EJ",2020,0,"refined liquids with CCS"
"145","China","1p5","iron and steel","EAF with DRI","gas with CCS","EAF with DRI CCS","EJ",2020,0,"gas with CCS"
"146","China","1p5 delay","iron and steel","EAF with DRI","gas with CCS","EAF with DRI CCS","EJ",2020,0,"gas with CCS"
"147","China","1p5","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2020,0.430671,"electricity"
"148","China","1p5 delay","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2020,0.430671,"electricity"
"149","China","Ref","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2020,0.357953,"electricity"
"150","China","1p5","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2020,0.0410875,"refined liquids"
"151","China","1p5 delay","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2020,0.0410875,"refined liquids"
"152","China","Ref","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2020,0.0341499,"refined liquids"
"153","China","1p5","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2020,0,"electricity"
"154","China","1p5 delay","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2020,0,"electricity"
"155","China","Ref","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2020,0,"electricity"
"156","China","1p5","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2020,0,"hydrogen"
"157","China","1p5 delay","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2020,0,"hydrogen"
"158","China","Ref","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2020,0,"hydrogen"
"159","China","1p5","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2025,0.12611368,"biomass"
"160","China","1p5 delay","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2025,0.03244715,"biomass"
"161","China","Ref","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2025,0.05089448,"biomass"
"162","China","1p5","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2025,0.00412064,"electricity"
"163","China","1p5 delay","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2025,0.001060174,"electricity"
"164","China","Ref","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2025,0.00166292,"electricity"
"165","China","1p5","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2025,0.00007516672,"refined liquids"
"166","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2025,0.00001933919,"refined liquids"
"167","China","Ref","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2025,0.00003033418,"refined liquids"
"168","China","1p5","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2025,0.00007516672,"gas"
"169","China","1p5 delay","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2025,0.00001933919,"gas"
"170","China","Ref","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2025,0.00003033418,"gas"
"171","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2025,15.67246,"coal"
"172","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2025,19.03979,"coal"
"173","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2025,21.42292,"coal"
"174","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2025,1.610601,"electricity"
"175","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2025,1.956648,"electricity"
"176","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2025,2.201554,"electricity"
"177","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2025,0.007683385,"refined liquids"
"178","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2025,0.00933421,"refined liquids"
"179","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2025,0.01050253,"refined liquids"
"180","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2025,0.02692911,"gas"
"181","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2025,0.032715,"gas"
"182","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2025,0.0368099,"gas"
"183","China","1p5","iron and steel","BLASTFUR","coal with CCS","BLASTFUR CCS","EJ",2025,0.519705,"coal with CCS"
"184","China","1p5 delay","iron and steel","BLASTFUR","coal with CCS","BLASTFUR CCS","EJ",2025,0,"coal with CCS"
"185","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR CCS","EJ",2025,0.0534081,"electricity"
"186","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR CCS","EJ",2025,0,"electricity"
"187","China","1p5","iron and steel","BLASTFUR","refined liquids with CCS","BLASTFUR CCS","EJ",2025,0.000254784,"refined liquids with CCS"
"188","China","1p5 delay","iron and steel","BLASTFUR","refined liquids with CCS","BLASTFUR CCS","EJ",2025,0,"refined liquids with CCS"
"189","China","1p5","iron and steel","BLASTFUR","gas with CCS","BLASTFUR CCS","EJ",2025,0.00089298,"gas with CCS"
"190","China","1p5 delay","iron and steel","BLASTFUR","gas with CCS","BLASTFUR CCS","EJ",2025,0,"gas with CCS"
"191","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2025,0.0310193,"coal"
"192","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2025,0.0288181,"coal"
"193","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2025,0.05413684,"coal"
