"","region","scenario","sector","subsector","output","technology","Units","year","share"
"81","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2030,1.35549468641151
"82","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2030,0
"83","China","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,23.0663518052304
"84","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,15.2855310608746
"85","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,5.58581758411792
"86","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,4.29487551842567
"87","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,1.41827349312417
"88","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,0.0192440389387868
"89","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,1.49868364152913
"90","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,0.921842843681467
"91","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,1.37381194266342
"92","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,18.2504131435358
"93","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,50.9462036521658
"94","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,90.8975111510836
"95","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2035,34.1382384239375
"96","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2035,11.5816707608369
"97","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,1.35319699899757
"98","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,2.0315446792183
"99","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,1.93757010736956
"100","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,0.509252300810855
"101","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,1.23676915507856
"102","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,0.109166521655078
"103","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2035,2.19254639850604
"104","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2035,0.93051680340194
"105","China","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,33.7957035083243
"106","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,27.3768065857158
"107","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,5.65004702077926
"108","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,8.2619655843588
"109","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,4.97464551990122
"110","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,0.0318932564490548
"111","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,0.903669222687742
