transport final energy by tech and vintage
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2025",0.0,0.0,0.0,0.0,0.0,0.0028352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,0.00341377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00401487,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00450772,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037552,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00193344,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,elect_td_trn,"BEV,year=2020",0.0,0.0,0.0,0.0,2.0271E-9,1.46787E-9,1.01355E-9,5.59232E-10,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,elect_td_trn,"BEV,year=2025",0.0,0.0,0.0,0.0,0.0,8.59141E-5,6.22123E-5,4.29571E-5,2.37018E-5,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,elect_td_trn,"BEV,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,7.30975E-4,5.29315E-4,3.65487E-4,2.0166E-4,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,elect_td_trn,"BEV,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00251396,0.00182041,0.00125698,6.93546E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,elect_td_trn,"BEV,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00578578,0.00418961,0.00289289,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,elect_td_trn,"BEV,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149891,0.0108539,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,elect_td_trn,"BEV,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224791,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,refined liquids enduse,"Liquids,year=1975",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,refined liquids enduse,"Liquids,year=1990",0.0120616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,refined liquids enduse,"Liquids,year=2005",0.0,0.0180067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,refined liquids enduse,"Liquids,year=2010",0.0,0.0,0.0273114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Heavy truck,refined liquids enduse,"Liquids,year=2015",0.0,0.0,0.0,0.0383088,0.0277403,0.0191544,0.0105686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
