"","region","year","share","scenario","generation"
"316","India",2015,81.6560427248273,"1p5 delay","conventional"
"317","India",2020,20.4669243983595,"1p5 delay","clean"
"318","India",2020,79.5330756016405,"1p5 delay","conventional"
"319","India",2025,25.7532114836411,"1p5 delay","clean"
"320","India",2025,74.2467885163589,"1p5 delay","conventional"
"321","India",2030,28.9988765497436,"1p5 delay","clean"
"322","India",2030,71.0011234502564,"1p5 delay","conventional"
"323","India",2035,49.0748571814883,"1p5 delay","clean"
"324","India",2035,50.9251428185117,"1p5 delay","conventional"
"325","India",2040,82.09412492404,"1p5 delay","clean"
"326","India",2040,17.9058750759601,"1p5 delay","conventional"
"327","India",2045,99.7768402269743,"1p5 delay","clean"
"328","India",2045,0.223159773025723,"1p5 delay","conventional"
"329","India",2050,99.9999899657536,"1p5 delay","clean"
"330","India",2050,0.000010034246383546,"1p5 delay","conventional"
"331","India",2065,NA,"1p5 delay","clean"
"332","India",2065,NA,"1p5 delay","conventional"
"333","India",2080,NA,"1p5 delay","clean"
"334","India",2080,NA,"1p5 delay","conventional"
"335","India",2095,NA,"1p5 delay","clean"
"336","India",2095,NA,"1p5 delay","conventional"
"337","Japan",1990,37.1690855117878,"Ref","clean"
"338","Japan",1990,62.8309144882122,"Ref","conventional"
"339","Japan",2005,38.5019769154552,"Ref","clean"
"340","Japan",2005,61.4980230845448,"Ref","conventional"
"341","Japan",2010,37.060954887858,"Ref","clean"
"342","Japan",2010,62.939045112142,"Ref","conventional"
"343","Japan",2015,18.3276653822027,"Ref","clean"
"344","Japan",2015,81.6723346177973,"Ref","conventional"
"345","Japan",2020,18.0833708126323,"Ref","clean"
"346","Japan",2020,81.9166291873677,"Ref","conventional"
"347","Japan",2025,19.6366657779673,"Ref","clean"
"348","Japan",2025,80.3633342220327,"Ref","conventional"
"349","Japan",2030,21.9273757811214,"Ref","clean"
"350","Japan",2030,78.0726242188786,"Ref","conventional"
"351","Japan",2035,24.4137391662942,"Ref","clean"
"352","Japan",2035,75.5862608337058,"Ref","conventional"
"353","Japan",2040,26.8583843113327,"Ref","clean"
"354","Japan",2040,73.1416156886673,"Ref","conventional"
"355","Japan",2045,27.3797910954815,"Ref","clean"
"356","Japan",2045,72.6202089045185,"Ref","conventional"
"357","Japan",2050,28.702639600978,"Ref","clean"
"358","Japan",2050,71.297360399022,"Ref","conventional"
"359","Japan",2065,NA,"Ref","clean"
"360","Japan",2065,NA,"Ref","conventional"
"361","Japan",2080,NA,"Ref","clean"
"362","Japan",2080,NA,"Ref","conventional"
