"","region","year","scenario","input","value","share"
"137","China",2040,"1p5 delay","coal",1105.04830681572,35.1762098665649
"138","China",2040,"1p5 delay","coal with CCS",567.9158987768,18.0780593198656
"139","China",2040,"1p5 delay","electricity",800.119182400389,25.4696198390484
"140","China",2040,"1p5 delay","gas",72.4192070214304,2.30526865553659
"141","China",2040,"1p5 delay","gas with CCS",207.764531767048,6.61361926640648
"142","China",2040,"1p5 delay","hydrogen",301.9548110081,9.61191084292679
"143","China",2040,"1p5 delay","refined liquids",51.743096255555,1.64710085686309
"144","China",2040,"1p5 delay","refined liquids with CCS",10.6924807762,0.340366068576354
"145","China",2045,"Ref","biomass",88.7579043396,1.67443598622768
"146","China",2045,"Ref","coal",4598.85313005178,86.7583032027365
"147","China",2045,"Ref","electricity",553.361062105162,10.4392694111037
"148","China",2045,"Ref","gas",17.5558953780384,0.331195550527665
"149","China",2045,"Ref","hydrogen",31.4048259293962,0.592458452784083
"150","China",2045,"Ref","refined liquids",10.8314436929258,0.204337396620371
"151","China",2045,"1p5","biomass",1.344634131262,0.0593972631570008
"152","China",2045,"1p5","coal",1.80087211791876,0.0795509147159108
"153","China",2045,"1p5","coal with CCS",684.25269184616,30.2258705610332
"154","China",2045,"1p5","electricity",817.472720024875,36.1106721494679
"155","China",2045,"1p5","gas",0.177369920745823,0.00783505907944504
"156","China",2045,"1p5","gas with CCS",212.063728817514,9.36760774829269
"157","China",2045,"1p5","hydrogen",482.942425853632,21.3332814415367
"158","China",2045,"1p5","refined liquids",52.7876972378823,2.33181998834718
"159","China",2045,"1p5","refined liquids with CCS",10.9559877647832,0.483964874369911
"160","China",2045,"1p5 delay","biomass",7.1928621153962,0.330516712812384
"161","China",2045,"1p5 delay","coal",34.5440285796452,1.58732067851025
"162","China",2045,"1p5 delay","coal with CCS",461.00787991712,21.1836132274335
"163","China",2045,"1p5 delay","electricity",855.261401561352,39.2998200861243
"164","China",2045,"1p5 delay","gas",1.47965472791728,0.0679911013060735
"165","China",2045,"1p5 delay","gas with CCS",278.058226335292,12.7769571367239
"166","China",2045,"1p5 delay","hydrogen",466.077067500245,21.4165457082352
"167","China",2045,"1p5 delay","refined liquids",58.4370995280589,2.68522289631576
"168","China",2045,"1p5 delay","refined liquids with CCS",14.189405518182,0.652012452538593
"169","China",2050,"Ref","biomass",90.4709890434,1.88952212993625
"170","China",2050,"Ref","coal",4139.34925708787,86.45193456491
