LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"current_policies,date=2021-21-10T09:40:21-07:00",Japan,All LandLeaf,-0.5903699277900005,-1.1591744032,-1.8559379930800004,-3.4606689845060044,-5.346554562756671,-7.0430603096220015,-7.554077509840997,-4.175227985044281,-4.194040300582882,-2.9435120523134004,-2.1009724221276014,-1.159936906928541,-1.0180363202430598,-0.3576354423203397,-0.18215991030936793,-1.3402161320861334,-1.0380449402805956,-0.787775614182803,-0.5898474263725343,-0.43762750267041467,-0.3226407049875819,-0.23681436944870235,-0.17327381840274356,-0.12650030734010814,-0.09220656918457336,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Mexico,All LandLeaf,16.98446689369111,17.747827756792958,18.923411800583033,14.327243986703596,14.635015644315125,14.888390364373581,-1.075373819784702,-3.482720183796379,-7.700716538099138,-2.934637316814888,-0.5376716079409581,1.8240264073825183,1.5429224174553569,3.574718335585075,3.4253268409247104,-2.303696591818802,-1.769151591367634,-1.2569393833680476,-0.8681852471242136,-0.5932281814680073,-0.4038065867552898,-0.2746481523159757,-0.1869052510682891,-0.12734391942553006,-0.0868889282424024,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Middle East,All LandLeaf,-46.618924467965996,-56.85216781992598,-62.40211833759003,-66.86050794895161,-68.39996186740383,-68.17838442677736,-32.473530050458656,-12.69128393698704,-8.751759057382042,-5.2186499044629135,-3.148773281359106,-2.229159094056362,-1.870969676428384,-1.3918394076890916,-1.24692196183494,-1.64571500553934,-1.115501855403146,-0.760649221788815,-0.5225288839061218,-0.3614773129692759,-0.2516100197203889,-0.17606512469893099,-0.12376130340897071,-0.08733429467036966,-0.06183736032828073,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Pakistan,All LandLeaf,-1.1978508639520007,-1.0953215824112,-1.0546764045489025,-0.8163030561755996,-0.7654504723400404,-0.7448898746443585,2.4658370502190334,-2.803632021827142,5.628338509069573,4.360363607497538,3.64682215357369,2.6894512250524873,2.225852419423051,2.358659623613243,1.8356600113146275,-0.19621653426700114,-0.41189420435976265,-0.38194437824664307,-0.3056168710675952,-0.23258007486427995,-0.17318484132182746,-0.12752007617629005,-0.09328458982993716,-0.06795976862049391,-0.049375767322151626,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Russia,All LandLeaf,112.33571730013355,93.83755745861072,80.79715822758261,60.87534287081477,31.354636879253043,6.478151962493574,-35.696519642673515,-6.200978624559497,-19.66689263661879,-22.360099210225687,-19.653913388733503,-15.762382801983527,-18.50143687397312,-10.376557791146002,-9.047913897611137,-23.893753062205274,-16.91068750066504,-11.93751130743948,-8.439413963033415,-5.985522202238319,-4.261756306910261,-3.046817208559963,-2.186934662461432,-1.5756304850686538,-1.1391250005926448,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",South Africa,All LandLeaf,3.7972836594466064,5.885379727741195,6.9906462284330155,4.519418773905808,5.483095927541901,6.089279348152765,-2.587366688765909,-9.165561279577132,-10.891390264059789,-6.639287235881631,-4.2181578930380015,-2.632972921103779,-1.7538890963170113,-0.9693582515029012,-0.6506615991207089,-1.8611189752804806,-1.4657216401390198,-1.0809404896020862,-0.7706460473364359,-0.5391171335181473,-0.37300429912980576,-0.25639316960068664,-0.17556540425979547,-0.11996151896560275,-0.08187977751647234,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",South America_Northern,All LandLeaf,4.766689302488004,5.484064954380328,6.2301653210169885,-1.8571519420576996,-1.229575508558949,-0.7594183788310009,3.1112565655225017,2.3812654621792992,-2.0002903282845192,0.12930453013328788,2.49653830879713,3.159168892243803,2.800149099033109,3.4734614054573036,4.866005114565313,-0.5784714457644903,-0.4721964393942207,-0.3390737068156644,-0.23254095025074442,-0.1565064032369654,-0.10450670406353368,-0.06957846970734523,-0.04629756082880665,-0.0308259513274244,-0.020550517072805887,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",South America_Southern,All LandLeaf,41.49642107078489,41.055852068767365,40.34004839032117,29.18720615016876,31.941216736126094,33.874882683997015,46.90568597663775,59.22315364211427,8.954756841493342,12.938310281638342,12.822936969533975,14.191332436545325,11.45957374939953,13.450523269592269,12.103440248684441,-0.459957023910887,-0.4862187665747421,-0.3665331989914219,-0.25300064344437784,-0.16973381980214913,-0.11296185195030412,-0.07517030595680088,-0.050174350955050205,-0.03363210815671358,-0.02264685047597277,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",South Asia,All LandLeaf,6.530932439623784,6.671888732974755,7.07607592975508,-0.4994577034646006,-1.4651996369382,-2.2851256548936996,0.9140331912434007,-0.5180987120163981,-3.1680241065596997,-0.39366405945549926,0.10463547609102038,0.3891589090646799,6.114600918887426,1.6492387310378764,0.5357895703751664,-1.2190396062082667,-1.0347628034915761,-0.7808555126678809,-0.5635465931330622,-0.3985148211415183,-0.2789018188198167,-0.19409861777770857,-0.13466955986136225,-0.09329152053581648,-0.06458681735475007,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",South Korea,All LandLeaf,-0.935332330000001,-0.6274356190000006,-0.46822275799999996,-0.319234865,-0.3225480089999997,-0.3354132969999999,-0.535452535,-0.4580812793999997,-0.369440353,-0.32149621110000004,-0.3148749559999998,-0.26843425159999995,-0.29586083085000003,-0.2462590447779998,-0.2854403192700001,-0.36164901469999994,-0.2710565340879999,-0.20244754608900004,-0.15089703056499998,-0.1123131360817,-0.0835033058156,-0.06202752638959998,-0.0460407047108,-0.034153607304300004,-0.025323403494260006,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Southeast Asia,All LandLeaf,120.95317283364614,120.32379842971697,119.75411533263552,51.38411991101915,49.01475704329583,47.66820835297097,148.8708296418237,135.2370152437052,27.118273612330057,36.34992153646818,28.66575954842308,24.932682947817625,19.25000737970886,21.75828773664821,16.333610331539653,-0.681052688069372,-0.6522691631020273,-0.5038441633708998,-0.365264938809831,-0.2589079555699716,-0.1820592172746616,-0.12774971133593402,-0.08968403274097335,-0.06306828481767363,-0.04445343637767074,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Taiwan,All LandLeaf,1.2646888103880007,1.1583194352900001,1.0825824389899994,1.1203761046679985,1.1725195184340007,1.2116429838460017,0.5199694866160002,-0.014604713936999691,-0.08063381836860001,-0.050859222671000064,-0.07946600067819999,0.06606143303446992,0.13483992137689996,0.2178306935433001,0.18937582818833,-0.01671663911860996,-0.013271719971159997,-0.009825607983839994,-0.007005595949290002,-0.004886011756089999,-0.0033619203758179996,-0.0022936730196899996,-0.0015564787040940006,-0.0010526842101396,-7.105202625857E-4,MtC/yr,
