hydrogen production by tech
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,H2 central production,biomass,biomass to H2,0.0,0.0,4.26332E-6,2.64065E-5,7.32117E-5,1.48649E-4,2.32193E-4,3.01976E-4,3.72901E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,H2 central production,coal,coal chemical,0.0,0.0,2.83329E-5,1.70652E-4,4.46851E-4,8.93559E-4,0.00146444,0.00201818,0.00264119,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,H2 central production,electricity,electrolysis,0.0,0.0,1.74486E-7,1.14436E-6,3.4214E-6,7.33633E-6,1.24508E-5,1.88119E-5,2.62959E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,H2 central production,gas,natural gas steam reforming,0.0,0.0,3.92796E-5,2.18293E-4,5.93525E-4,0.00110713,0.00158906,0.00209852,0.00257995,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,H2 central production,nuclear,thermal splitting,0.0,0.0,4.53804E-6,2.67238E-5,6.87589E-5,1.3139E-4,2.03668E-4,2.66282E-4,3.28574E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,H2 central production,solar,electrolysis,0.0,0.0,4.34674E-6,2.56965E-5,6.64015E-5,1.27484E-4,1.9861E-4,2.61098E-4,3.24045E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,H2 central production,wind,electrolysis,0.0,0.0,2.04458E-6,1.24397E-5,3.29068E-5,6.44568E-5,1.0225E-4,1.38622E-4,1.74885E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,H2 forecourt production,electricity,electrolysis,0.0,0.0,3.85464E-6,2.3043E-5,6.34942E-5,1.24798E-4,1.9388E-4,2.69377E-4,3.46358E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,3.30722E-5,1.93894E-4,5.3961E-4,0.00106002,0.00161098,0.00222118,0.00287161,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,H2 central production,biomass,biomass to H2,0.0,0.0,3.17975E-6,1.3423E-4,3.97947E-4,7.56777E-4,0.00114768,0.00145553,0.00176779,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,H2 central production,coal,coal chemical,0.0,0.0,1.8193E-5,7.716E-4,0.00224642,0.00429881,0.00689626,0.00933884,0.0120904,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,H2 central production,electricity,electrolysis,0.0,0.0,9.33283E-8,4.53109E-6,1.5221E-5,3.2023E-5,5.46585E-5,8.08297E-5,1.09691E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,H2 central production,gas,natural gas steam reforming,0.0,0.0,2.37771E-5,9.62607E-4,0.00287093,0.00529513,0.0078644,0.0103199,0.0124801,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,H2 central production,nuclear,thermal splitting,0.0,0.0,3.28522E-6,1.33069E-4,3.70706E-4,6.63745E-4,9.91096E-4,0.00125195,0.00150434,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,H2 central production,solar,electrolysis,0.0,0.0,3.14673E-6,1.27953E-4,3.57997E-4,6.44009E-4,9.66483E-4,0.00122758,0.0014836,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,H2 central production,wind,electrolysis,0.0,0.0,2.4008E-6,9.20415E-5,2.4564E-4,4.28164E-4,6.29617E-4,8.01067E-4,9.62942E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,H2 forecourt production,electricity,electrolysis,0.0,0.0,2.1503E-6,9.51772E-5,2.9339E-4,5.6853E-4,8.96973E-4,0.00122695,0.0015419,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,2.2869E-5,9.59322E-4,0.00290211,0.00556695,0.00867214,0.0117829,0.014992,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,H2 central production,biomass,biomass to H2,0.0,0.0,1.1272E-5,1.01698E-4,2.39875E-4,4.11231E-4,5.68136E-4,6.94179E-4,8.28417E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,H2 central production,coal,coal chemical,0.0,0.0,7.00372E-5,6.37919E-4,0.0014819,0.00255582,0.0037374,0.00487866,0.00619537,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,H2 central production,electricity,electrolysis,0.0,0.0,3.20578E-7,3.0465E-6,8.01764E-6,1.53938E-5,2.48038E-5,3.57819E-5,4.87284E-5,0.0,0.0,0.0,EJ,
