IRONSTL inputs by tech (energy and feedstocks)
"0_1p5C,date=2021-21-10T04:35:21-07:00",Australia_NZ,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,2.60894E-5,0.0018084996,0.003774953,0.0035375711600000004,0.0021641523999999996,6.749015299999999E-4,8.9476867E-6,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Australia_NZ,iron and steel,delivered coal,0.14504513,0.12641689,0.15433787000000002,0.09786878,0.10872038999999999,0.091211948,0.07850240100000001,0.07144786299999999,0.0641560444,0.03987055165700001,0.021532845758050007,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Australia_NZ,iron and steel,elect_td_ind,0.02206017,0.01904616,0.018585950000000004,0.01858586,0.021138067442,0.022185691422,0.024956231016999997,0.026808312823000002,0.02811553124,0.031171611521,0.033899960062747,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Australia_NZ,iron and steel,refined liquids industrial,0.0020931918,0.0017162755,9.625378999999999E-4,8.372116E-4,9.810709598E-4,0.0011780293099000001,0.0013248024649299998,0.0013630886703800001,0.0013983366583,0.001539015074166,0.0015478987578840002,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Australia_NZ,iron and steel,scrap,0.0,0.0,0.0,0.0,0.128547,0.42245699999999997,0.8167506999999999,1.0933898000000002,1.2839247999999999,1.7680259,2.2464031,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Australia_NZ,iron and steel,wholesale gas,0.027418588,0.024404599,0.019381249,0.0147349683,0.017270934249800002,0.0205384994779,0.02258133267493,0.02279541062438,0.0230600312285,0.024668618639104002,0.023803983647642003,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.017723305,0.06454985599999999,0.10156746529999999,0.125297141,0.18368604647,0.2612793162559,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,7.16654E-5,0.0042795405,0.0084452887,0.008105265399999999,0.00502713,0.00184285989,7.20151958E-5,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,delivered coal,0.25718752,0.35124799999999995,0.38733,0.37322192000000004,0.37951734,0.341425186,0.303699338,0.28182054800000006,0.2566447734,0.1611621558099999,0.08066994640599999,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,elect_td_ind,0.06835724,0.08631472,0.09795090000000001,0.08928745999999999,0.09082045158999999,0.10247917288000001,0.12300942926999998,0.135692491998,0.14063880733,0.14699018631670002,0.15414459859158003,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,refined liquids industrial,0.01925597,0.03520557,0.04604627,0.04307301,0.0431842497142,0.0532893543932,0.05795774248269999,0.056994841595260005,0.05589969740200001,0.055878433598415,0.049552743765773996,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,scrap,0.0,0.0,0.0,0.0,0.448116,2.226729,4.625647,6.0395421,6.4671199999999995,6.723636000000001,5.8539650000000005,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,wholesale gas,0.01477722,0.045419,0.03658603,0.0500645,0.0499519747142,0.0604924221632,0.0631234791927,0.060121766635260004,0.058254128934000005,0.058311013633354995,0.052294312343172,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.009828220700000001,0.02385042284,0.03390871311,0.03754350016,0.0398966467574,0.04075533931713,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.21839E-5,4.0163093E-4,6.843526799999999E-4,6.1883071E-4,3.585368E-4,1.5488353699999998E-5,3.825156E-8,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,delivered coal,0.12788292,0.12574688,0.12034715,0.09569184,0.10345210799999999,0.0810954081,0.05387298840000001,0.0358925882,0.027640390140000005,0.014303066580700002,0.006685320737362,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,elect_td_ind,0.02997163,0.03570693,0.031562320000000005,0.032316380000000006,0.035217188095999996,0.039012081569999996,0.043642783498,0.0462042280381,0.046590851279,0.0473548996844,0.04731177280158701,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,refined liquids industrial,0.011888605,0.006698273,0.0,0.0,7.26188E-9,2.7472774000000003E-7,5.2569489E-7,5.443288099999999E-7,3.4540709000000005E-7,1.4445231999999999E-8,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,scrap,0.0,0.0,0.0,0.0,1.57258,4.76893,7.831661,9.557416,9.909212,10.766041,11.35026,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,wholesale gas,0.050734217,0.068525003,0.06283182500000001,0.0726272,0.06459443356188,0.030948188167739997,0.016356034754890003,0.012253126178810001,0.011154105902090001,0.0066987303221519995,0.001394887495958,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.0016573169868,0.0049757012876,0.00793023734161,0.010119140892978,0.012219994680045,0.017003177164794,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,2.23366E-8,6.023088E-7,1.2356345E-6,1.4797387000000002E-6,8.447295E-7,7.210576E-9,1.2309E-10,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,delivered coal,0.0,2.5119476E-4,2.0929364E-4,4.18962E-5,7.6692287E-5,2.829110376E-4,5.946057434E-4,9.450610361E-4,0.0013096368095200002,0.0016516381577120001,0.001914138794529,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,elect_td_ind,0.0,0.0,0.0,0.0,7.29823E-10,2.2502641E-8,5.2219439000000004E-8,7.6655685E-8,5.5998948E-8,7.997969999999999E-10,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,refined liquids industrial,0.0,0.0,0.0,0.0,0.0,3.48117E-10,9.08128E-10,1.3782450000000001E-9,9.56761E-10,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,scrap,0.0,0.0,0.0,0.0,0.0843624,0.3816286,0.6817152,0.8895919,1.0274184,1.1851419,1.4258171000000002,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,wholesale gas,0.009334787123430001,0.03235780732,0.03767401164,0.02859040935,0.030699301694320003,0.028983508787117,0.021314439869808,0.016164542924245,0.015016286389661,0.014097072310999999,0.008575406770159999,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.010730990000000001,0.02033778,0.04321508,0.078371058,0.11814792010000001,0.14385092419,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,0.00253446,0.10362494,0.12026545999999999,0.09909363600000001,0.05529965,0.0188042636,0.00446159375,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,delivered coal,0.03909747,0.13127338,0.2262949,0.23144389,0.28949928,0.0757189667,0.0766849416,0.08277780100000003,0.08354182569999999,0.05654093453899999,0.028671564930686008,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,elect_td_ind,4.184909E-4,0.002009394,0.0974081,0.0437855,0.05289770090000001,0.025203014699999998,0.034114654,0.061146224699999994,0.10987600998000001,0.1615829296794,0.18922448312462004,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,refined liquids industrial,0.005065062,0.016995333,0.032609034,0.020218557999999998,0.0218908266,0.00447809497,0.004119091934,0.007445401479999999,0.013163687831999999,0.015991998052481998,0.01442407480684,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,scrap,0.0,0.0,0.0,0.0,0.165464,0.1888195,0.3064154,0.552996,0.9686196,1.2387972999999999,1.1150446999999999,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,wholesale gas,0.008581416,3.34844E-4,0.0143579328,0.015446474,0.0163938217,0.0028257900800000004,0.00214789986,0.004224906964,0.0076142096781,0.009145805098754,0.00833020910284,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.18013999,0.68507758,1.150617,1.5001723500000002,1.7970448131999999,1.973276098606,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,0.00753122,0.29061810000000005,0.5476527,0.47153576,0.26845723,0.0520233309,3.0634772100000005E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,delivered coal,1.99571156,7.801786,13.4328657,15.89034481,20.106112540999998,16.241617411999997,12.065758506000003,8.284713688,4.9614259359999995,2.3311828159899997,0.9259408103875001,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,elect_td_ind,0.20201297000000001,0.9180029,1.6598576,1.9193978,2.559277584,2.4896132370000004,2.7388596880000002,2.891002982,2.9740943434,2.97920379568,2.6990315622167,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,refined liquids industrial,0.1645962,0.0974969,0.0723038,0.04020569,0.08423149477,0.11012043347,0.16632477134,0.199227078941,0.229225615921,0.2357149409583,0.19743357730099398,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,scrap,0.0,0.0,0.0,0.0,37.3207,100.1313,209.0292,296.83833000000004,360.5111,405.67650000000003,382.68399999999997,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,wholesale gas,0.0241567,0.034196500000000005,0.074372,0.15030359999999998,0.69539548877,0.76019470947,0.99527914234,0.9493087279409999,1.026521576151,0.8435079845836,0.397942098261229,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.0018238409999999999,0.005684598000000001,0.011670225999999999,0.018640409,0.0286791235,0.0403655787,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.08213E-4,0.0126701697,0.0163052144,0.0138664194,0.008050978,0.002716278,1.0096762999999999E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,delivered coal,0.02992989,0.02859037,0.04139951,0.0362926,0.040615530000000004,0.016727421000000003,0.0181656646,0.02301122325,0.027423353500999996,0.023012315421939,0.01398185674714,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,elect_td_ind,0.004981350000000001,0.0082883,0.009585920000000001,0.008455735,0.00988356674,0.010336361740000001,0.012564879572,0.0179704601816,0.026183848140619997,0.03503415464951999,0.042597528774,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,refined liquids industrial,0.0027209065,0.001967399,0.0020093059999999998,3.7670490000000004E-4,4.431533422E-4,4.1925806561E-4,3.9381560456099994E-4,4.46537664153E-4,5.8693136393E-4,6.312202820399999E-4,5.9097670585E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,scrap,0.0,0.0,0.0,0.0,0.0913655,0.2462363,0.4383267,0.7482457,1.1609036,1.6687566,2.0542119999999997,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,wholesale gas,0.001004633,0.0019674345000000003,0.002260466,0.009544109,0.0112284687642,0.0101847997583,0.00914335420653,0.00996883759245,0.012931251520892001,0.0131473208537,0.0113645114494,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-12,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.007722518,0.022447088,0.0304812331,0.0326975161,0.041344060732000004,0.04457725087292,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-12,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,2.66443E-5,0.0045106527,0.0081114487,0.007296974560000001,0.00433965,7.922013590000001E-4,3.41250202E-6,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-12,iron and steel,delivered coal,0.8056383,0.48051044,0.33127909,0.34191358,0.314516529,0.27355696700000004,0.219327403,0.17196412699999997,0.13529429899999998,0.06790496622,0.03152407264504,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-12,iron and steel,elect_td_ind,0.0956914,0.0883669,0.0750138,0.0721243,0.066638380573,0.08204429112600001,0.093533116675,0.092878418018,0.08778944272,0.0869623714049,0.081946763417155,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-12,iron and steel,refined liquids industrial,0.020133603,0.014943057,0.0013812170000000001,5.43505E-4,4.982815506E-4,6.80814411E-4,7.4818780825E-4,7.087759064300001E-4,6.520765781E-4,5.886472493149999E-4,5.25856488252E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-12,iron and steel,scrap,0.0,0.0,0.0,0.0,0.528247,4.711825999999999,8.819495,10.610861700000001,10.813535,12.596008000000001,12.874442,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-12,iron and steel,wholesale gas,0.23378842,0.088784302,0.06785527200000001,0.063794968,0.0580762794806,0.07424087433000001,0.07372946058425,0.06464832895143,0.0565816804209,0.042349587545335,0.033220747022511,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-15,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.016252382,0.06893210599999999,0.11166647810000001,0.1253757955,0.147879240214,0.17038571184749,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-15,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.2353E-4,0.0038434240000000002,0.0084787545,0.008397333,0.005228782,4.99972694E-4,2.28894192E-6,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",EU-15,iron and steel,delivered coal,1.9183255000000001,1.3655118,1.2506498,1.1776407999999998,1.2187514,0.9335947280000001,0.638444061,0.442594538,0.34676932699999996,0.18459702933999997,0.09573102125315004,0.0,0.0,0.0,EJ,
